우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
25627|강원도|Gangwon-do|강릉시|Gangneung-si|강동면|Gangdong-myeon|421502000023|동해대로|Donghae-daero|0|1907|0|4215034022101300002000001|||4215034022||모전리|강동면|0|130|06|2||
25627|강원도|Gangwon-do|강릉시|Gangneung-si|강동면|Gangdong-myeon|421504460489|산두양지길|Sanduyangji-gil|0|29|40|4215034022000820008042329|||4215034022||모전리|강동면|0|82|01|8||
25627|강원도|Gangwon-do|강릉시|Gangneung-si|강동면|Gangdong-myeon|421504460489|산두양지길|Sanduyangji-gil|0|7|14|4215034022000850008042316|||4215034022||모전리|강동면|0|85|01|8||
25627|강원도|Gangwon-do|강릉시|Gangneung-si|강동면|Gangdong-myeon|421503220033|임곡로|Imgok-ro|0|154|54|4215034022001090000042247|||4215034022||모전리|강동면|0|109|01|0||
25627|강원도|Gangwon-do|강릉시|Gangneung-si|강동면|Gangdong-myeon|421503220033|임곡로|Imgok-ro|0|208|0|4215034022000550003042309|||4215034022||모전리|강동면|0|55|01|3||
25627|강원도|Gangwon-do|강릉시|Gangneung-si|강동면|Gangdong-myeon|421504460014|강동초교길|Gangdongchogyo-gil|0|1|0|4215034022003730002038834||강동교회|4215034022||모전리|강동면|0|373|01|2||
25627|강원도|Gangwon-do|강릉시|Gangneung-si|강동면|Gangdong-myeon|421503220011|단경로|Dangyeong-ro|0|20|0|4215034022003840000038573||강동초등학교|4215034022||모전리|강동면|0|319|01|1||
25627|강원도|Gangwon-do|강릉시|Gangneung-si|강동면|Gangdong-myeon|421503220011|단경로|Dangyeong-ro|0|54|0|4215034022003400007045053||마을복지회관|4215034022||모전리|강동면|0|340|01|7||
25627|강원도|Gangwon-do|강릉시|Gangneung-si|강동면|Gangdong-myeon|421504460640|아래장작골길|Araejangjakgol-gil|0|68|0|4215034022102580002000001||대일가스|4215034022||모전리|강동면|0|258|01|1||
25627|강원도|Gangwon-do|강릉시|Gangneung-si|강동면|Gangdong-myeon|421504460014|강동초교길|Gangdongchogyo-gil|0|20|0|4215034022003130000038561||새생명교회|4215034022||모전리|강동면|0|313|01|0||
25627|강원도|Gangwon-do|강릉시|Gangneung-si|강동면|Gangdong-myeon|421504460014|강동초교길|Gangdongchogyo-gil|0|46|0|4215034022003400004044619||모전리마을회관|4215034022||모전리|강동면|0|307|01|0||
25627|강원도|Gangwon-do|강릉시|Gangneung-si|강동면|Gangdong-myeon|421503220032|율곡로|Yulgok-ro|0|2085|8|4215034022003600000038576|||4215034022||모전리|강동면|0|360|10|0||
25627|강원도|Gangwon-do|강릉시|Gangneung-si|강동면|Gangdong-myeon|421503220032|율곡로|Yulgok-ro|0|2031|31|4215034022001640000042267|||4215034022||모전리|강동면|0|165|10|1||
