우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
12410|경기도|Gyeonggi-do|가평군|Gapyeong-gun|가평읍|Gapyeong-eup|418204448042|당목가일길|Dangmokgail-gil|0|420|0|4182025030103620002005870||방주농원펜션|4182025030||개곡리|가평읍|0|362|01|2||
12410|경기도|Gyeonggi-do|가평군|Gapyeong-gun|가평읍|Gapyeong-eup|418204448042|당목가일길|Dangmokgail-gil|0|595|54|4182025030101750002005974||벨엘민족|4182025030||개곡리|가평읍|0|175|01|2||
12410|경기도|Gyeonggi-do|가평군|Gapyeong-gun|가평읍|Gapyeong-eup|418204448035|능모루길|Neungmoru-gil|0|20|0|4182025030111080000005972||뚝마루가든|4182025030||개곡리|가평읍|0|1108|01|0||
12410|경기도|Gyeonggi-do|가평군|Gapyeong-gun|가평읍|Gapyeong-eup|418203216017|보납로|Bonap-ro|0|459|158|4182025030104870000005840||동기간|4182025030||개곡리|가평읍|0|487|01|0||
12410|경기도|Gyeonggi-do|가평군|Gapyeong-gun|가평읍|Gapyeong-eup|418204448042|당목가일길|Dangmokgail-gil|0|139|101|4182025030108360003005868||까치유원지|4182025030||개곡리|가평읍|0|836|01|3||
12410|경기도|Gyeonggi-do|가평군|Gapyeong-gun|가평읍|Gapyeong-eup|418203216017|보납로|Bonap-ro|0|459|88|4182025030104320000005934||극락정사|4182025030||개곡리|가평읍|0|432|01|0||
12410|경기도|Gyeonggi-do|가평군|Gapyeong-gun|가평읍|Gapyeong-eup|418204448042|당목가일길|Dangmokgail-gil|0|401|0|4182025030103480003005869||개곡2리마을회관|4182025030||개곡리|가평읍|0|348|01|3||
12410|경기도|Gyeonggi-do|가평군|Gapyeong-gun|가평읍|Gapyeong-eup|418204448042|당목가일길|Dangmokgail-gil|0|211|80|4182025030107050000002387||개곡보건진료소|4182025030||개곡리|가평읍|0|705|01|0||
12410|경기도|Gyeonggi-do|가평군|Gapyeong-gun|가평읍|Gapyeong-eup|418204448042|당목가일길|Dangmokgail-gil|0|528|0|4182025030101860000005809||계곡이있는풍경|4182025030||개곡리|가평읍|0|186|01|0||
12410|경기도|Gyeonggi-do|가평군|Gapyeong-gun|가평읍|Gapyeong-eup|418204448042|당목가일길|Dangmokgail-gil|0|463|0|4182025030102640001005872||계절이지나가는하늘|4182025030||개곡리|가평읍|0|264|01|1||
12410|경기도|Gyeonggi-do|가평군|Gapyeong-gun|가평읍|Gapyeong-eup|418204448075|물안산길|Muransan-gil|0|42|0|4182025030202800000005754||고려시리카(주)|4182025030||개곡리|가평읍|1|280|01|0||
12410|경기도|Gyeonggi-do|가평군|Gapyeong-gun|가평읍|Gapyeong-eup|418204448035|능모루길|Neungmoru-gil|0|34|0|4182025030108850000000208||가평화목|4182025030||개곡리|가평읍|0|885|01|0||
12410|경기도|Gyeonggi-do|가평군|Gapyeong-gun|가평읍|Gapyeong-eup|418204448035|능모루길|Neungmoru-gil|0|117|0|4182025030107810011005764||개곡1리 마을회관|4182025030||개곡리|가평읍|0|781|01|11||
12410|경기도|Gyeonggi-do|가평군|Gapyeong-gun|가평읍|Gapyeong-eup|418204448042|당목가일길|Dangmokgail-gil|0|355|8|4182025030105460004001467||개곡2리농기계보관창고|4182025030||개곡리|가평읍|0|546|01|4||
12410|경기도|Gyeonggi-do|가평군|Gapyeong-gun|가평읍|Gapyeong-eup|418204448035|능모루길|Neungmoru-gil|0|69|63|4182025030107600007005795||SR산업|4182025030||개곡리|가평읍|0|760|01|7||
12410|경기도|Gyeonggi-do|가평군|Gapyeong-gun|가평읍|Gapyeong-eup|418204448042|당목가일길|Dangmokgail-gil|0|691|3|4182025030101100010005875||햇볕좋은집|4182025030||개곡리|가평읍|0|110|01|10||
12410|경기도|Gyeonggi-do|가평군|Gapyeong-gun|가평읍|Gapyeong-eup|418204448042|당목가일길|Dangmokgail-gil|0|716|0|4182025030101060003005882||화이트밸리|4182025030||개곡리|가평읍|0|106|01|3||
12410|경기도|Gyeonggi-do|가평군|Gapyeong-gun|가평읍|Gapyeong-eup|418204448042|당목가일길|Dangmokgail-gil|0|697|0|4182025030101100001005878||푸른초원의집|4182025030||개곡리|가평읍|0|110|01|1||
12410|경기도|Gyeonggi-do|가평군|Gapyeong-gun|가평읍|Gapyeong-eup|418204448042|당목가일길|Dangmokgail-gil|0|712|0|4182025030101060005005881||풀하우스펜션|4182025030||개곡리|가평읍|0|106|01|5||
12410|경기도|Gyeonggi-do|가평군|Gapyeong-gun|가평읍|Gapyeong-eup|418204448042|당목가일길|Dangmokgail-gil|0|691|11|4182025030101270001005879||하늘로열린창|4182025030||개곡리|가평읍|0|127|01|1||
12410|경기도|Gyeonggi-do|가평군|Gapyeong-gun|가평읍|Gapyeong-eup|418204448042|당목가일길|Dangmokgail-gil|0|645|0|4182025030101470000005891||파인빌펜션|4182025030||개곡리|가평읍|0|147|01|0||
12410|경기도|Gyeonggi-do|가평군|Gapyeong-gun|가평읍|Gapyeong-eup|418204448042|당목가일길|Dangmokgail-gil|0|275|19|4182025030105780001005888||웰빙벨리|4182025030||개곡리|가평읍|0|578|01|1||
12410|경기도|Gyeonggi-do|가평군|Gapyeong-gun|가평읍|Gapyeong-eup|418204448042|당목가일길|Dangmokgail-gil|0|724|0|4182025030101010002005883||안나하우스|4182025030||개곡리|가평읍|0|101|01|2||
