우편번호,주소,법정동코드,건물명,위도,경도
12432,경기도 가평군 와곡길 93,4182034528,,127.3533785,37.8685096
12432,경기도 가평군 현등사길 55,4182034528,,127.3450389,37.8634965
12432,경기도 가평군 현등사길 55,4182034528,,127.3450389,37.8634965
12432,경기도 가평군 현등사길 55,4182034528,,127.3450389,37.8634965
12432,경기도 가평군 현등사길 55,4182034528,,127.3450389,37.8634965
12432,경기도 가평군 현등사길 55,4182034528,,127.3450389,37.8634965
12432,경기도 가평군 현등사길 55,4182034528,,127.3450389,37.8634965
12432,경기도 가평군 현등사길 55,4182034528,,127.3450389,37.8634965
12432,경기도 가평군 현등사길 55,4182034528,,127.3450389,37.8634965
12432,경기도 가평군 현등사길 55,4182034528,,127.3450389,37.8634965
12432,경기도 가평군 현등사길 55,4182034528,,127.3450389,37.8634965
12432,경기도 가평군 현등사길 55,4182034528,,127.3450389,37.8634965
12432,경기도 가평군 현등사길 55,4182034528,,127.3450389,37.8634965
12432,경기도 가평군 현등사길 55,4182034528,,127.3450389,37.8634965
12432,경기도 가평군 현등사길 55,4182034528,,127.3450389,37.8634965
12432,경기도 가평군 현등사길 55,4182034528,,127.3450389,37.8634965
12432,경기도 가평군 현등사길 55,4182034528,,127.3450389,37.8634965
12432,경기도 가평군 현등사길 55,4182034528,,127.3450389,37.8634965
12432,경기도 가평군 와곡길 175,4182034528,,127.3548887,37.8718698
12432,경기도 가평군 운악청계로490번길 168,4182034528,,127.3720803,37.8655039
12432,경기도 가평군 명지산로 44,4182034528,,127.3603014,37.8784152
12432,경기도 가평군 운악청계로490번길 85,4182034528,,127.3630565,37.8612958
12432,경기도 가평군 운악청계로 869,4182034528,,127.3532788,37.8866592
12432,경기도 가평군 현등사길 55,4182034528,,127.3450389,37.8634965
12432,경기도 가평군 현등사길 55,4182034528,,127.3450389,37.8634965
12432,경기도 가평군 현등사길 55,4182034528,,127.3450389,37.8634965
12432,경기도 가평군 현등사길 55,4182034528,,127.3450389,37.8634965
12432,경기도 가평군 현등사길 55,4182034528,,127.3450389,37.8634965
12432,경기도 가평군 현등사길 55,4182034528,,127.3450389,37.8634965
12432,경기도 가평군 현등사길 55,4182034528,,127.3450389,37.8634965
12432,경기도 가평군 현등사길 55,4182034528,,127.3450389,37.8634965
12432,경기도 가평군 현등사길 55,4182034528,,127.3450389,37.8634965
12432,경기도 가평군 현등사길 55,4182034528,,127.3450389,37.8634965
12432,경기도 가평군 현등사길 55,4182034528,,127.3450389,37.8634965
12435,경기도 가평군 운악청계로 75,4182034521,늘솜가든,127.3478762,37.8283840
12438,경기도 가평군 청군로 1191,4182034521,덕수상회,127.3514283,37.8114743
12437,경기도 가평군 조종희망로 38,4182034521,덕흥빌리지,127.3505600,37.8200337
12437,경기도 가평군 조종새싹로 16,4182034521,대동지업사,127.3488789,37.8201975
12438,경기도 가평군 현창로 13,4182034521,대명오토바이,127.3490042,37.8162393
12438,경기도 가평군 청군로 1198,4182034521,대명중기,127.3516616,37.8121716
12438,경기도 가평군 조종내길 8,4182034521,대벌농기계,127.3523040,37.8117299
12438,경기도 가평군 청군로 1303,4182034521,동현주유소,127.3451903,37.8202460
12438,경기도 가평군 조종희망로 20,4182034521,대원장여관,127.3507442,37.8181966
12435,경기도 가평군 청군로 1354,4182034521,듀오리치빌,127.3407175,37.8231989
12437,경기도 가평군 조종새싹로 18,4182034521,디지털프라자,127.3489939,37.8202669
12437,경기도 가평군 조종새싹로 49,4182034521,또래아이사랑교육센터,127.3485291,37.8229632
12438,경기도 가평군 청군로 1189,4182034521,또래오래,127.3514982,37.8113810
12437,경기도 가평군 현창로44번길 8,4182034521,뚱이네,127.3487708,37.8192985
12437,경기도 가평군 조종새싹로4번길 15,4182034521,21세기호프,127.3497915,37.8191719
12438,경기도 가평군 조종희망로 16,4182034521,GM대우참서비스,127.3505576,37.8182160
12437,경기도 가평군 조종새싹로4번길 18,4182034521,THEMOTEL,127.3500073,37.8188704
12438,경기도 가평군 청군로 1397,4182034521,가마솥밥상,127.3365298,37.8217774
12435,경기도 가평군 운악청계로 131,4182034521,가마솥보리밥식당,127.3448305,37.8321845
12437,경기도 가평군 조종새싹로4번길 21,4182034521,가위든가족,127.3504597,37.8193059
12438,경기도 가평군 연등길 1,4182034521,(주)운악건설중기,127.3523486,37.8094950
12438,경기도 가평군 조종희망로 4,4182034521,가평군농협조종지점,127.3488280,37.8177850
12437,경기도 가평군 연인산로 18,4182034521,가평군현6리마을회관,127.3515065,37.8220264
12437,경기도 가평군 현창로62번길 3,4182034521,가평낙우회,127.3471878,37.8203748
12437,경기도 가평군 조종새싹로4번길 15,4182034521,Marine,127.3497915,37.8191719
