우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
38540|경상북도|Gyeongsangbuk-do|경산시|Gyeongsan-si|||472904739749|화랑로8길|Hwarang-ro 8-gil|0|178|19|4729012800104830000011446|||4729012800|갑제동||북부동|0|483|01|0||
38541|경상북도|Gyeongsangbuk-do|경산시|Gyeongsan-si|||472903305066|화랑로|Hwarang-ro|0|9|0|4729012800106820000016451|||4729012800|갑제동||북부동|0|682|01|0||
38541|경상북도|Gyeongsangbuk-do|경산시|Gyeongsan-si|||472903305066|화랑로|Hwarang-ro|0|177|0|4729012800102010002015723|||4729012800|갑제동||북부동|0|201|01|2||
38540|경상북도|Gyeongsangbuk-do|경산시|Gyeongsan-si|||472903305066|화랑로|Hwarang-ro|0|94|0|4729012800104400022010538||한약진흥재단|4729012800|갑제동||북부동|0|440|01|22||
38540|경상북도|Gyeongsangbuk-do|경산시|Gyeongsan-si|||472903305066|화랑로|Hwarang-ro|0|172|0|4729012800102070001010791||화랑원룸|4729012800|갑제동||북부동|0|207|01|1||
38540|경상북도|Gyeongsangbuk-do|경산시|Gyeongsan-si|||472904739317|매봉재길|Maebongjae-gil|0|5|7|4729012800106660003012086||혜성산업|4729012800|갑제동||북부동|0|666|02|3||
38541|경상북도|Gyeongsangbuk-do|경산시|Gyeongsan-si|||472903305066|화랑로|Hwarang-ro|0|123|13|4729012800103260000015756|||4729012800|갑제동||북부동|0|326|01|0||
38540|경상북도|Gyeongsangbuk-do|경산시|Gyeongsan-si|||472903305066|화랑로|Hwarang-ro|0|182|7|4729012800101420001012578|||4729012800|갑제동||북부동|0|142|01|1||
38541|경상북도|Gyeongsangbuk-do|경산시|Gyeongsan-si|||472903305066|화랑로|Hwarang-ro|0|167|0|4729012800102100008011135|||4729012800|갑제동||북부동|0|210|01|8||
38540|경상북도|Gyeongsangbuk-do|경산시|Gyeongsan-si|||472903305066|화랑로|Hwarang-ro|0|144|0|4729012800104110001000001|||4729012800|갑제동||북부동|0|411|01|1||
