우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
62207|광주광역시|Gwangju|광산구|Gwangsan-gu|||292004289540|임곡연동길|Imgogyeondong-gil|0|115|16|2920013100100640001000001|||2920013100|고룡동||임곡동|0|64|01|1||
62207|광주광역시|Gwangju|광산구|Gwangsan-gu|||292004289540|임곡연동길|Imgogyeondong-gil|0|106|19|2920013100101590001000001|||2920013100|고룡동||임곡동|0|159|01|1||
62207|광주광역시|Gwangju|광산구|Gwangsan-gu|||292004289540|임곡연동길|Imgogyeondong-gil|0|106|262|2920013100104160000019727|||2920013100|고룡동||임곡동|0|416|01|1||
62207|광주광역시|Gwangju|광산구|Gwangsan-gu|||292004289540|임곡연동길|Imgogyeondong-gil|0|127|4|2920013100101030002024376|||2920013100|고룡동||임곡동|0|103|01|2||
62207|광주광역시|Gwangju|광산구|Gwangsan-gu|||292004289540|임곡연동길|Imgogyeondong-gil|0|87|0|2920013100104540004000001|||2920013100|고룡동||임곡동|0|454|01|4||
62207|광주광역시|Gwangju|광산구|Gwangsan-gu|||292004289540|임곡연동길|Imgogyeondong-gil|0|68|0|2920013100104530001019296|||2920013100|고룡동||임곡동|0|453|01|1||
62207|광주광역시|Gwangju|광산구|Gwangsan-gu|||292004289540|임곡연동길|Imgogyeondong-gil|0|105|6|2920013100101150000024242|||2920013100|고룡동||임곡동|0|115|01|0||
62207|광주광역시|Gwangju|광산구|Gwangsan-gu|||292004289540|임곡연동길|Imgogyeondong-gil|0|97|0|2920013100101260003000001|||2920013100|고룡동||임곡동|0|126|01|3||
62207|광주광역시|Gwangju|광산구|Gwangsan-gu|||292004289540|임곡연동길|Imgogyeondong-gil|0|106|152|2920013100102510000000001|||2920013100|고룡동||임곡동|0|251|01|0||
62207|광주광역시|Gwangju|광산구|Gwangsan-gu|||292004289540|임곡연동길|Imgogyeondong-gil|0|125|2|2920013100101050001019884|||2920013100|고룡동||임곡동|0|105|01|1||
62207|광주광역시|Gwangju|광산구|Gwangsan-gu|||292004289540|임곡연동길|Imgogyeondong-gil|0|113|0|2920013100101400007024244|||2920013100|고룡동||임곡동|0|140|01|7||
62207|광주광역시|Gwangju|광산구|Gwangsan-gu|||292004289128|벽파정길|Byeokpajeong-gil|0|49|8|2920013100108230002019624|||2920013100|고룡동||임곡동|0|823|01|2||
62207|광주광역시|Gwangju|광산구|Gwangsan-gu|||292004289128|벽파정길|Byeokpajeong-gil|0|61|5|2920013100108290003024163|||2920013100|고룡동||임곡동|0|829|01|3||
62207|광주광역시|Gwangju|광산구|Gwangsan-gu|||292004289128|벽파정길|Byeokpajeong-gil|0|50|0|2920013100108390004019617|||2920013100|고룡동||임곡동|0|839|01|4||
62207|광주광역시|Gwangju|광산구|Gwangsan-gu|||292004289128|벽파정길|Byeokpajeong-gil|0|46|0|2920013100108530000019614|||2920013100|고룡동||임곡동|0|853|01|0||
62207|광주광역시|Gwangju|광산구|Gwangsan-gu|||292004289128|벽파정길|Byeokpajeong-gil|0|26|0|2920013100108810001043257|||2920013100|고룡동||임곡동|0|881|01|1||
62207|광주광역시|Gwangju|광산구|Gwangsan-gu|||292004289128|벽파정길|Byeokpajeong-gil|0|35|0|2920013100108620001019631|||2920013100|고룡동||임곡동|0|862|01|1||
62207|광주광역시|Gwangju|광산구|Gwangsan-gu|||292004289597|창암길|Changam-gil|0|125|20|2920013100106480000000004|||2920013100|고룡동||임곡동|0|648|01|0||
