우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
42474|대구광역시|Daegu|남구|Nam-gu|||272004232117|두류공원로5길|Duryugongwon-ro 5-gil|0|6|17|2720010300116420024007184|||2720010300|대명동||대명10동|0|1642|01|24||
42453|대구광역시|Daegu|남구|Nam-gu|||272004232359|현충로6길|Hyeonchung-ro 6-gil|0|17|12|2720010300104860024013901|||2720010300|대명동||대명9동|0|486|01|24||
42479|대구광역시|Daegu|남구|Nam-gu|||272003144004|대명복개로|Daemyeongbokgae-ro|0|30|0|2720010300115960009001396|||2720010300|대명동||대명10동|0|1596|01|9||
42407|대구광역시|Daegu|남구|Nam-gu|||272004232010|계명7길|Gyemyeong 7-gil|0|8|0|2720010300122550004010975|||2720010300|대명동||대명3동|0|2255|01|4||
42496|대구광역시|Daegu|남구|Nam-gu|||272004232055|대명로14길|Daemyeong-ro 14-gil|0|134|0|2720010300115060002000001|||2720010300|대명동||대명11동|0|1506|01|2||
42499|대구광역시|Daegu|남구|Nam-gu|||272004232120|매자안길|Maejaan-gil|0|55|0|2720010300115800001000825|||2720010300|대명동||대명11동|0|1580|01|1||
42450|대구광역시|Daegu|남구|Nam-gu|||272004232281|자유3길|Jayu 3-gil|0|76|0|2720010300103520003013877|||2720010300|대명동||대명9동|0|352|01|3||
42488|대구광역시|Daegu|남구|Nam-gu|||272003144010|현충로|Hyeonchung-ro|0|73|0|2720010300106900001013196|||2720010300|대명동||대명9동|0|690|01|1||
42450|대구광역시|Daegu|남구|Nam-gu|||272004232280|자유2길|Jayu 2-gil|0|26|0|2720010300103440011015142|||2720010300|대명동||대명9동|0|344|01|11||
42412|대구광역시|Daegu|남구|Nam-gu|||272004232302|중앙대로31길|Jungang-daero 31-gil|0|138|14|2720010300118180006017248|||2720010300|대명동||대명2동|0|1818|01|6||
42414|대구광역시|Daegu|남구|Nam-gu|||272004232353|현충로40길|Hyeonchung-ro 40-gil|0|72|9|2720010300118390000016538|||2720010300|대명동||대명2동|0|1839|01|0||
