우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
46711|부산광역시|Busan|강서구|Gangseo-gu|||264403136062|제도로|Jedo-ro|0|783|0|2644010300129400001000001|||2644010300|강동동||강동동|0|2940|02|1||
46711|부산광역시|Busan|강서구|Gangseo-gu|||264404208049|강동신덕3길|Gangdongsindeok 3-gil|0|27|0|2644010300124400000018665|||2644010300|강동동||강동동|0|2440|01|0||
46705|부산광역시|Busan|강서구|Gangseo-gu|||264404208181|낙동북로43번길|Nakdongbuk-ro 43beon-gil|0|38|22|2644010300101070011000001|||2644010300|강동동||강동동|0|107|01|11||
46706|부산광역시|Busan|강서구|Gangseo-gu|||264404208494|제도로1092번길|Jedo-ro 1092beon-gil|0|385|0|2644010300106610444034185|||2644010300|강동동||강동동|0|661|01|444||
46706|부산광역시|Busan|강서구|Gangseo-gu|||264403136062|제도로|Jedo-ro|0|1127|47|2644010300101430009000001|||2644010300|강동동||강동동|0|143|02|9||
46711|부산광역시|Busan|강서구|Gangseo-gu|||264403136062|제도로|Jedo-ro|0|767|4|2644010300129440005000001|||2644010300|강동동||강동동|0|2944|02|5||
46711|부산광역시|Busan|강서구|Gangseo-gu|||264404208382|상덕로119번길|Sangdeok-ro 119beon-gil|0|168|1|2644010300117110000000001|||2644010300|강동동||강동동|0|1711|01|0||
46711|부산광역시|Busan|강서구|Gangseo-gu|||264403136052|상덕로|Sangdeok-ro|0|55|13|2644010300121390001000001|||2644010300|강동동||강동동|0|2139|01|1||
46706|부산광역시|Busan|강서구|Gangseo-gu|||264404208490|제도로1041번길|Jedo-ro 1041beon-gil|0|137|33|2644010300110030000000001|||2644010300|강동동||강동동|0|1003|01|0||
46706|부산광역시|Busan|강서구|Gangseo-gu|||264404208490|제도로1041번길|Jedo-ro 1041beon-gil|0|297|0|2644010300107030008000001|||2644010300|강동동||강동동|0|703|01|8||
46706|부산광역시|Busan|강서구|Gangseo-gu|||264404208383|상덕로49번길|Sangdeok-ro 49beon-gil|0|338|19|2644010300110440000000001|||2644010300|강동동||강동동|0|1044|01|0||
46706|부산광역시|Busan|강서구|Gangseo-gu|||264404208383|상덕로49번길|Sangdeok-ro 49beon-gil|0|396|0|2644010300108060000000001|||2644010300|강동동||강동동|0|806|01|0||
46706|부산광역시|Busan|강서구|Gangseo-gu|||264404208385|상덕로97번길|Sangdeok-ro 97beon-gil|0|101|0|2644010300119770000000001|||2644010300|강동동||강동동|0|1977|01|0||
46716|부산광역시|Busan|강서구|Gangseo-gu|||264404208524|천자3길|Cheonja 3-gil|0|36|0|2644010300147960007001662|||2644010300|강동동||강동동|0|4796|01|7||
46706|부산광역시|Busan|강서구|Gangseo-gu|||264403136063|평강로|Pyeonggang-ro|0|19|0|2644010300115090002000001|||2644010300|강동동||강동동|0|1509|02|2||
46706|부산광역시|Busan|강서구|Gangseo-gu|||264403136063|평강로|Pyeonggang-ro|0|19|1|2644010300115090000000001|||2644010300|강동동||강동동|0|1509|02|0||
46706|부산광역시|Busan|강서구|Gangseo-gu|||264404208047|강동신덕1길|Gangdongsindeok 1-gil|0|18|0|2644010300115670000040312|||2644010300|강동동||강동동|0|1567|02|0||
46711|부산광역시|Busan|강서구|Gangseo-gu|||264404208296|덕포길|Deokpo-gil|0|51|0|2644010300126050004000001|||2644010300|강동동||강동동|0|2605|01|4||
46711|부산광역시|Busan|강서구|Gangseo-gu|||264404208382|상덕로119번길|Sangdeok-ro 119beon-gil|0|166|0|2644010300112910001000001|||2644010300|강동동||강동동|0|1291|01|1||
46706|부산광역시|Busan|강서구|Gangseo-gu|||264404208485|제도로1002번가길|Jedo-ro 1002beonga-gil|0|22|0|2644010300115240006034755|||2644010300|강동동||강동동|0|1524|01|6||
46706|부산광역시|Busan|강서구|Gangseo-gu|||264404208485|제도로1002번가길|Jedo-ro 1002beonga-gil|0|24|0|2644010300115240005000001|||2644010300|강동동||강동동|0|1524|01|24||
46706|부산광역시|Busan|강서구|Gangseo-gu|||264404208383|상덕로49번길|Sangdeok-ro 49beon-gil|0|291|50|2644010300113070002000001|||2644010300|강동동||강동동|0|1307|01|2||
46711|부산광역시|Busan|강서구|Gangseo-gu|||264404208062|공작길|Gongjak-gil|0|133|2|2644010300129890000000001|||2644010300|강동동||강동동|0|2989|01|0||
46706|부산광역시|Busan|강서구|Gangseo-gu|||264404208168|낙동북로138번길|Nakdongbuk-ro 138beon-gil|0|86|31|2644010300100330082000001|||2644010300|강동동||강동동|0|33|01|82||
46705|부산광역시|Busan|강서구|Gangseo-gu|||264404208183|낙동북로63번길|Nakdongbuk-ro 63beon-gil|0|65|0|2644010300102110001026856|||2644010300|강동동||강동동|0|211|01|1||
46706|부산광역시|Busan|강서구|Gangseo-gu|||264404208489|제도로1041번가길|Jedo-ro 1041beonga-gil|0|299|0|2644010300100860009000001|||2644010300|강동동||강동동|0|86|01|9||
46706|부산광역시|Busan|강서구|Gangseo-gu|||264404208490|제도로1041번길|Jedo-ro 1041beon-gil|0|34|0|2644010300102420008000001|||2644010300|강동동||강동동|0|242|01|16||
46706|부산광역시|Busan|강서구|Gangseo-gu|||264404208387|상덕로97번다길|Sangdeok-ro 97beonda-gil|0|9|0|2644010300112540008040232|||2644010300|강동동||강동동|0|1254|01|8||
46706|부산광역시|Busan|강서구|Gangseo-gu|||264404208387|상덕로97번다길|Sangdeok-ro 97beonda-gil|0|44|0|2644010300112810000018469|||2644010300|강동동||강동동|0|1281|01|0||
46711|부산광역시|Busan|강서구|Gangseo-gu|||264404208050|강동중곡1길|Gangdongjunggok 1-gil|0|46|3|2644010300138210000000001|||2644010300|강동동||강동동|0|3821|01|0||
46705|부산광역시|Busan|강서구|Gangseo-gu|||264404208165|낙동북로125번길|Nakdongbuk-ro 125beon-gil|0|98|1|2644010300100180162000001|||2644010300|강동동||강동동|0|18|01|162||
46705|부산광역시|Busan|강서구|Gangseo-gu|||264404208165|낙동북로125번길|Nakdongbuk-ro 125beon-gil|0|102|2|2644010300100180154000001|||2644010300|강동동||강동동|0|18|01|177||
46705|부산광역시|Busan|강서구|Gangseo-gu|||264404208170|낙동북로153번길|Nakdongbuk-ro 153beon-gil|0|119|2|2644010300100180154000002|||2644010300|강동동||강동동|0|18|01|154||
46705|부산광역시|Busan|강서구|Gangseo-gu|||264404208180|낙동북로31번길|Nakdongbuk-ro 31beon-gil|0|33|1|2644010300102110003000001|||2644010300|강동동||강동동|0|211|01|3||
46705|부산광역시|Busan|강서구|Gangseo-gu|||264404208180|낙동북로31번길|Nakdongbuk-ro 31beon-gil|0|33|2|2644010300102110003000002|||2644010300|강동동||강동동|0|211|01|7||
46706|부산광역시|Busan|강서구|Gangseo-gu|||264404208490|제도로1041번길|Jedo-ro 1041beon-gil|0|319|0|2644010300107030001000002|||2644010300|강동동||강동동|0|703|01|15||
46706|부산광역시|Busan|강서구|Gangseo-gu|||264404208490|제도로1041번길|Jedo-ro 1041beon-gil|0|321|0|2644010300107030001000001|||2644010300|강동동||강동동|0|703|01|1||
