우편번호,주소,법정동코드,건물명,위도,경도
02237,서울특별시 중랑구 면목로35길 50,1126010100,,127.0835892,37.5788989
02240,서울특별시 중랑구 면목로35길 43,1126010100,,127.0834885,37.5791731
02240,서울특별시 중랑구 면목로35길 43,1126010100,,127.0848566,37.5785448
02237,서울특별시 중랑구 면목로35길 22,1126010100,,127.0835892,37.5788989
02237,서울특별시 중랑구 면목로35길 40,1126010100,,127.0840020,37.5790721
02240,서울특별시 중랑구 면목로35길 23,1126010100,,127.0844140,37.5784280
02240,서울특별시 중랑구 면목로35길 43,1126010100,,127.0835892,37.5788989
02240,서울특별시 중랑구 면목로35길 43,1126010100,,127.0835892,37.5788989
02218,서울특별시 중랑구 겸재로 162,1126010100,,127.0856621,37.5877891
02219,서울특별시 중랑구 겸재로 172,1126010100,,127.0867578,37.5879907
02218,서울특별시 중랑구 겸재로 160,1126010100,,127.0854384,37.5877171
02218,서울특별시 중랑구 겸재로 160,1126010100,,127.0854384,37.5877171
02230,서울특별시 중랑구 겸재로 74,1126010100,,127.0768944,37.5857877
02230,서울특별시 중랑구 겸재로 80,1126010100,,127.0760453,37.5855651
02160,서울특별시 중랑구 면목로84길 20,1126010100,,127.0878290,37.5918722
02160,서울특별시 중랑구 면목로84길 20,1126010100,,127.0878290,37.5918722
02155,서울특별시 중랑구 면목로84길 51,1126010100,,127.0895983,37.5920656
02157,서울특별시 중랑구 면목로84길 51,1126010100,,127.0895983,37.5920656
02157,서울특별시 중랑구 면목로84길 51,1126010100,,127.0895983,37.5920656
02157,서울특별시 중랑구 면목로84길 51,1126010100,,127.0895983,37.5920656
02155,서울특별시 중랑구 면목로84길 51,1126010100,,127.0895983,37.5920656
02259,서울특별시 중랑구 용마산로 296,1126010100,,127.0915247,37.5786086
02207,서울특별시 중랑구 용마산로 373,1126010100,,127.0943166,37.5852178
02215,서울특별시 중랑구 겸재로22길 24,1126010100,,127.0812677,37.5858245
02215,서울특별시 중랑구 겸재로22길 32,1126010100,,127.0812817,37.5855183
02215,서울특별시 중랑구 겸재로22길 31,1126010100,,127.0814864,37.5854640
02227,서울특별시 중랑구 사가정로45길 3,1126010100,,127.0850758,37.5813735
02227,서울특별시 중랑구 사가정로45길 17,1126010100,,127.0852628,37.5819083
02228,서울특별시 중랑구 사가정로45길 38,1126010100,,127.0855305,37.5826963
02222,서울특별시 중랑구 사가정로45길 63,1126010100,,127.0855248,37.5839098
02228,서울특별시 중랑구 사가정로45길 32,1126010100,,127.0855333,37.5824953
02227,서울특별시 중랑구 사가정로45길 3,1126010100,,127.0850758,37.5813735
02210,서울특별시 중랑구 면목로54길 21,1126010100,,127.0896743,37.5835551
02210,서울특별시 중랑구 면목로54길 18,1126010100,,127.0894467,37.5834225
02210,서울특별시 중랑구 면목로54길 39,1126010100,,127.0906595,37.5834748
02211,서울특별시 중랑구 면목로54길 66,1126010100,,127.0921129,37.5831741
02144,서울특별시 중랑구 봉우재로32길 21,1126010100,,127.0854264,37.5916644
02142,서울특별시 중랑구 봉우재로32길 56,1126010100,,127.0840361,37.5906406
02132,서울특별시 중랑구 봉우재로2길 7,1126010100,,127.0743872,37.5890362
02132,서울특별시 중랑구 봉우재로2길 7,1126010100,,127.0743872,37.5890362
02132,서울특별시 중랑구 봉우재로2길 13,1126010100,,127.0744575,37.5887230
02132,서울특별시 중랑구 봉우재로2길 19,1126010100,,127.0744983,37.5884879
02249,서울특별시 중랑구 면목로38나길 35,1126010100,,127.0891551,37.5790815
02252,서울특별시 중랑구 면목로38나길 11,1126010100,,127.0880908,37.5782644
02252,서울특별시 중랑구 면목로38나길 4,1126010100,,127.0879916,37.5779618
02237,서울특별시 중랑구 면목로39길 51,1126010100,,127.0845294,37.5802952
02197,서울특별시 중랑구 면목로72길 32,1126010100,,127.0895220,37.5875989
02124,서울특별시 중랑구 동일로109가길 13,1126010100,,127.0785463,37.5926115
02124,서울특별시 중랑구 동일로109가길 13,1126010100,,127.0785463,37.5926115
02129,서울특별시 중랑구 동일로107길 28,1126010100,,127.0785892,37.5913476
02129,서울특별시 중랑구 동일로107길 9,1126010100,,127.0794668,37.5916879
02129,서울특별시 중랑구 동일로107길 10,1126010100,,127.0796206,37.5916494
02145,서울특별시 중랑구 겸재로29길 4,1126010100,,127.0849097,37.5880250
02157,서울특별시 중랑구 상봉로17길 15,1126010100,,127.0923323,37.5924702
02201,서울특별시 중랑구 겸재로64길 71,1126010100,,127.0949522,37.5877744
02201,서울특별시 중랑구 겸재로64길 62,1126010100,,127.0950071,37.5873533
02201,서울특별시 중랑구 겸재로64길 64,1126010100,,127.0961554,37.5898946
02200,서울특별시 중랑구 겸재로64길 12,1126010100,,127.0949000,37.5876959
02201,서울특별시 중랑구 겸재로64길 43,1126010100,,127.0955733,37.5884298
02201,서울특별시 중랑구 겸재로64길 36,1126010100,,127.0956150,37.5889009
02201,서울특별시 중랑구 겸재로64길 35,1126010100,,127.0957472,37.5887334
02235,서울특별시 중랑구 동일로 547,1126010100,,127.0793250,37.5791157
02232,서울특별시 중랑구 동일로 591,1126010100,,127.0794614,37.5831915
02231,서울특별시 중랑구 동일로 613,1126010100,,127.0795969,37.5852274
02231,서울특별시 중랑구 동일로 625,1126010100,,127.0796595,37.5861387
02161,서울특별시 중랑구 면목로78길 16,1126010100,,127.0881489,37.5902022
02162,서울특별시 중랑구 면목로78길 62,1126010100,,127.0905990,37.5907602
02160,서울특별시 중랑구 면목로78길 29,1126010100,,127.0888661,37.5905148
02162,서울특별시 중랑구 면목로78길 56,1126010100,,127.0902211,37.5906783
02162,서울특별시 중랑구 면목로78길 76,1126010100,,127.0913471,37.5909303
02143,서울특별시 중랑구 봉우재로20가길 11,1126010100,,127.0814638,37.5910766
02143,서울특별시 중랑구 봉우재로20가길 11,1126010100,,127.0814638,37.5910766
02142,서울특별시 중랑구 봉우재로20가길 22,1126010100,,127.0821548,37.5910272
02142,서울특별시 중랑구 봉우재로20가길 22,1126010100,,127.0821548,37.5910272
02142,서울특별시 중랑구 봉우재로20가길 44,1126010100,,127.0833701,37.5912963
02142,서울특별시 중랑구 봉우재로20가길 18,1126010100,,127.0819181,37.5909855
02143,서울특별시 중랑구 봉우재로20가길 37,1126010100,,127.0829081,37.5913927
02143,서울특별시 중랑구 봉우재로20가길 53,1126010100,,127.0838986,37.5916227
02142,서울특별시 중랑구 봉우재로20가길 16,1126010100,,127.0814638,37.5910766
02143,서울특별시 중랑구 봉우재로20가길 11,1126010100,,127.0818206,37.5909528
02195,서울특별시 중랑구 용마산로70길 36,1126010100,,127.0904663,37.5838787
02210,서울특별시 중랑구 면목로56길 38,1126010100,,127.0953265,37.5822221
02249,서울특별시 중랑구 면목로38나길 31,1126010100,,127.0824106,37.5724289
02246,서울특별시 중랑구 면목로21길 25,1126010100,,127.0890494,37.5791649
02246,서울특별시 중랑구 면목로21길 5,1126010100,,127.0834644,37.5723872
02240,서울특별시 중랑구 사가정로50길 86,1126010100,,127.0843893,37.5773482
02240,서울특별시 중랑구 사가정로50길 102,1126010100,,127.0838545,37.5767911
02237,서울특별시 중랑구 사가정로50길 12,1126010100,,127.0863041,37.5802994
02240,서울특별시 중랑구 사가정로50길 67,1126010100,,127.0850311,37.5778567
02240,서울특별시 중랑구 사가정로50길 70,1126010100,,127.0865947,37.5805623
02238,서울특별시 중랑구 사가정로50길 5,1126010100,,127.0848921,37.5779622
02216,서울특별시 중랑구 겸재로26길 6,1126010100,,127.0827451,37.5863924
02246,서울특별시 중랑구 답십리로 375,1126010100,,127.0821545,37.5716546
02255,서울특별시 중랑구 답십리로 403,1126010100,,127.0852738,37.5711540
02246,서울특별시 중랑구 답십리로 377,1126010100,,127.0823208,37.5716055
02246,서울특별시 중랑구 답십리로 377,1126010100,,127.0823208,37.5716055
02246,서울특별시 중랑구 답십리로 377,1126010100,,127.0823208,37.5716055
02246,서울특별시 중랑구 답십리로 375,1126010100,,127.0821545,37.5716546
02255,서울특별시 중랑구 답십리로 391,1126010100,,127.0838507,37.5714034
02255,서울특별시 중랑구 답십리로 403,1126010100,,127.0852738,37.5711540
02255,서울특별시 중랑구 답십리로 403,1126010100,,127.0852738,37.5711540
02147,서울특별시 중랑구 겸재로15길 46,1126010100,,127.0854002,37.5859161
02217,서울특별시 중랑구 면목로61길 52,1126010100,,127.0820944,37.5883828
02217,서울특별시 중랑구 면목로61길 48,1126010100,,127.0857090,37.5858957
