우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
23025|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287102157001|강화대로|Ganghwa-daero|0|270|0|2871025025103540001000001|||2871025025||갑곳리|강화읍|0|354|01|1||
23027|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271054|강화대로157번길|Ganghwa-daero 157beon-gil|0|11|12|2871025025109540005000001|||2871025025||갑곳리|강화읍|0|954|01|5||
23027|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271055|강화대로175번길|Ganghwa-daero 175beon-gil|0|9|14|2871025025109430008000001|||2871025025||갑곳리|강화읍|0|943|01|8||
23025|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271058|강화대로216번길|Ganghwa-daero 216beon-gil|0|51|1|2871025025104560013000001|||2871025025||갑곳리|강화읍|0|456|01|13||
23025|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271058|강화대로216번길|Ganghwa-daero 216beon-gil|0|51|3|2871025025104560006000001|||2871025025||갑곳리|강화읍|0|456|01|6||
23024|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271018|갑룡길73번길|Gamnyong-gil 73beon-gil|0|31|2|2871025025100860001000001|||2871025025||갑곳리|강화읍|0|86|01|1||
23025|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287102157001|강화대로|Ganghwa-daero|0|286|1|2871025025103440007000003|||2871025025||갑곳리|강화읍|0|344|01|7||
23024|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271004|갑룡길|Gamnyong-gil|0|53|0|2871025025100820007000904|||2871025025||갑곳리|강화읍|0|82|01|7||
23024|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271018|갑룡길73번길|Gamnyong-gil 73beon-gil|0|49|0|2871025025101060000000001|||2871025025||갑곳리|강화읍|0|106|01|0||
23024|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271018|갑룡길73번길|Gamnyong-gil 73beon-gil|0|49|2|2871025025101060007000001|||2871025025||갑곳리|강화읍|0|106|01|7||
23025|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271058|강화대로216번길|Ganghwa-daero 216beon-gil|0|51|14|2871025025104440005000001|||2871025025||갑곳리|강화읍|0|444|01|5||
23027|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287103157039|해안동로|Haeandong-ro|0|1367|12|2871025025109720001000001|||2871025025||갑곳리|강화읍|0|972|01|1||
23024|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271018|갑룡길73번길|Gamnyong-gil 73beon-gil|0|16|14|2871025025100500000002575|||2871025025||갑곳리|강화읍|0|50|01|0||
23025|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271058|강화대로216번길|Ganghwa-daero 216beon-gil|0|53|6|2871025025104530003000001|||2871025025||갑곳리|강화읍|0|453|01|3||
23025|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271058|강화대로216번길|Ganghwa-daero 216beon-gil|0|53|8|2871025025104530002000001|||2871025025||갑곳리|강화읍|0|453|01|2||
23025|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271058|강화대로216번길|Ganghwa-daero 216beon-gil|0|53|10|2871025025104530000000001|||2871025025||갑곳리|강화읍|0|453|01|0||
23025|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271058|강화대로216번길|Ganghwa-daero 216beon-gil|0|51|18|2871025025104440000000001|||2871025025||갑곳리|강화읍|0|444|01|0||
23027|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271690|해안동로1335번길|Haeandong-ro 1335beon-gil|0|28|3|2871025025108610000000001|||2871025025||갑곳리|강화읍|0|861|01|0||
23025|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287102157001|강화대로|Ganghwa-daero|0|242|0|2871025025104160000017719|||2871025025||갑곳리|강화읍|0|410|01|1||
23024|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271005|갑룡길117번길|Gamnyong-gil 117beon-gil|0|25|0|2871025025100010004000001|||2871025025||갑곳리|강화읍|0|1|01|4||
23027|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271055|강화대로175번길|Ganghwa-daero 175beon-gil|0|14|1|2871025025106580002000001|||2871025025||갑곳리|강화읍|0|658|01|2||
23027|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287102157001|강화대로|Ganghwa-daero|0|259|2|2871025025106940004000001|||2871025025||갑곳리|강화읍|0|694|01|4||
23025|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287102157001|강화대로|Ganghwa-daero|0|252|0|2871025025104060003000001|||2871025025||갑곳리|강화읍|0|406|01|3||
23027|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271691|해안동로1366번길|Haeandong-ro 1366beon-gil|0|3|3|2871025025109820001000001|||2871025025||갑곳리|강화읍|0|982|01|1||
23025|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271004|갑룡길|Gamnyong-gil|0|81|1|2871025025100720004000001|||2871025025||갑곳리|강화읍|0|72|01|4||
23025|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271004|갑룡길|Gamnyong-gil|0|81|3|2871025025100720020000001|||2871025025||갑곳리|강화읍|0|72|01|20||
23024|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271014|갑룡길5번길|Gamnyong-gil 5beon-gil|0|44|0|2871025025101290003000001|||2871025025||갑곳리|강화읍|0|129|01|3||
23024|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271014|갑룡길5번길|Gamnyong-gil 5beon-gil|0|44|1|2871025025101290001000001|||2871025025||갑곳리|강화읍|0|129|01|1||
23024|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271018|갑룡길73번길|Gamnyong-gil 73beon-gil|0|29|1|2871025025100840010000001|||2871025025||갑곳리|강화읍|0|84|01|10||
23027|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271057|강화대로215번길|Ganghwa-daero 215beon-gil|0|34|4|2871025025105080000000001|||2871025025||갑곳리|강화읍|0|508|01|0||
23024|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271004|갑룡길|Gamnyong-gil|0|81|6|2871025025100720005000001|||2871025025||갑곳리|강화읍|0|72|01|5||
23024|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271004|갑룡길|Gamnyong-gil|0|57|0|2871025025100810005000001|||2871025025||갑곳리|강화읍|0|81|01|5||
23025|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287102157001|강화대로|Ganghwa-daero|0|268|0|2871025025103550001002090|||2871025025||갑곳리|강화읍|0|355|01|1||
23025|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271012|갑룡길56번길|Gamnyong-gil 56beon-gil|0|10|0|2871025025103510000000001|||2871025025||갑곳리|강화읍|0|351|01|0||
23025|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271058|강화대로216번길|Ganghwa-daero 216beon-gil|0|51|0|2871025025104540003000001|||2871025025||갑곳리|강화읍|0|454|01|3||
23025|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271058|강화대로216번길|Ganghwa-daero 216beon-gil|0|51|11|2871025025104560009000001|||2871025025||갑곳리|강화읍|0|444|01|1||
23024|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271018|갑룡길73번길|Gamnyong-gil 73beon-gil|0|27|0|2871025025100910005000001|||2871025025||갑곳리|강화읍|0|91|01|5||
23025|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271004|갑룡길|Gamnyong-gil|0|87|4|2871025025100270012000001|||2871025025||갑곳리|강화읍|0|27|01|12||
23025|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271058|강화대로216번길|Ganghwa-daero 216beon-gil|0|51|7|2871025025104560011000001|||2871025025||갑곳리|강화읍|0|456|01|11||
23025|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271058|강화대로216번길|Ganghwa-daero 216beon-gil|0|51|9|2871025025104560010000001|||2871025025||갑곳리|강화읍|0|456|01|10||
23027|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271055|강화대로175번길|Ganghwa-daero 175beon-gil|0|9|24|2871025025109450000000001|||2871025025||갑곳리|강화읍|0|945|01|0||
23024|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271018|갑룡길73번길|Gamnyong-gil 73beon-gil|0|16|4|2871025025100640004000001|||2871025025||갑곳리|강화읍|0|64|01|4||
23024|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271018|갑룡길73번길|Gamnyong-gil 73beon-gil|0|16|6|2871025025100640007000001|||2871025025||갑곳리|강화읍|0|64|01|7||
23024|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271018|갑룡길73번길|Gamnyong-gil 73beon-gil|0|16|8|2871025025100640008000001|||2871025025||갑곳리|강화읍|0|64|01|8||
23027|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287103150025|중앙로|Jungang-ro|0|17|15|2871025025109010000000001|||2871025025||갑곳리|강화읍|0|901|01|0||
23025|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271058|강화대로216번길|Ganghwa-daero 216beon-gil|0|51|16|2871025025104380001000001|||2871025025||갑곳리|강화읍|0|438|01|1||
23024|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271018|갑룡길73번길|Gamnyong-gil 73beon-gil|0|16|2|2871025025100640001004159|||2871025025||갑곳리|강화읍|0|64|01|1||
23024|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271018|갑룡길73번길|Gamnyong-gil 73beon-gil|0|49|5|2871025025101640017000001|||2871025025||갑곳리|강화읍|0|164|01|17||
23024|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271018|갑룡길73번길|Gamnyong-gil 73beon-gil|0|49|6|2871025025101640001000001|||2871025025||갑곳리|강화읍|0|164|01|1||
23024|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271004|갑룡길|Gamnyong-gil|0|29|0|2871025025101620010000001|||2871025025||갑곳리|강화읍|0|162|01|10||
23024|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271004|갑룡길|Gamnyong-gil|0|31|0|2871025025101620009000001|||2871025025||갑곳리|강화읍|0|162|01|9||
23024|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271018|갑룡길73번길|Gamnyong-gil 73beon-gil|0|52|19|2871025025101400005000001|||2871025025||갑곳리|강화읍|0|140|01|5||
23027|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287103157039|해안동로|Haeandong-ro|0|1367|8|2871025025109720005000001|||2871025025||갑곳리|강화읍|0|972|01|5||
23027|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287103157039|해안동로|Haeandong-ro|0|1367|10|2871025025109720004000001|||2871025025||갑곳리|강화읍|0|972|01|4||
23025|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271058|강화대로216번길|Ganghwa-daero 216beon-gil|0|35|0|2871025025104600013000001|||2871025025||갑곳리|강화읍|0|460|01|13||
23025|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271058|강화대로216번길|Ganghwa-daero 216beon-gil|0|35|2|2871025025104600012000001|||2871025025||갑곳리|강화읍|0|460|01|12||
23025|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271058|강화대로216번길|Ganghwa-daero 216beon-gil|0|39|0|2871025025104600002000001|||2871025025||갑곳리|강화읍|0|460|01|2||
23025|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271058|강화대로216번길|Ganghwa-daero 216beon-gil|0|39|1|2871025025104600011000001|||2871025025||갑곳리|강화읍|0|460|01|11||
23025|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271058|강화대로216번길|Ganghwa-daero 216beon-gil|0|39|2|2871025025104600003000001|||2871025025||갑곳리|강화읍|0|460|01|3||
23025|인천광역시|Incheon|강화군|Ganghwa-gun|강화읍|Ganghwa-eup|287104271058|강화대로216번길|Ganghwa-daero 216beon-gil|0|39|3|2871025025104600009000001|||2871025025||갑곳리|강화읍|0|460|01|9||
