우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679019|교촌길|Gyochon-gil|0|49|2|4681025024102470001604125|||4681025024||교촌리|강진읍|0|247|01|1||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679019|교촌길|Gyochon-gil|0|57|12|4681025024102410000604133|||4681025024||교촌리|강진읍|0|241|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679009|강진신풍길|Gangjinsinpung-gil|0|58|50|4681025024100490004000001|||4681025024||교촌리|강진읍|0|49|01|4||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679009|강진신풍길|Gangjinsinpung-gil|0|77|15|4681025024104720012000001|||4681025024||교촌리|강진읍|0|472|01|12||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679009|강진신풍길|Gangjinsinpung-gil|0|11|6|4681025024101990000604155|||4681025024||교촌리|강진읍|0|199|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679009|강진신풍길|Gangjinsinpung-gil|0|67|0|4681025024100950000602306|||4681025024||교촌리|강진읍|0|95|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679009|강진신풍길|Gangjinsinpung-gil|0|73|0|4681025024100900000602309|||4681025024||교촌리|강진읍|0|90|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679009|강진신풍길|Gangjinsinpung-gil|0|11|5|4681025024101980000604172|||4681025024||교촌리|강진읍|0|198|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679009|강진신풍길|Gangjinsinpung-gil|0|69|0|4681025024100920001602332|||4681025024||교촌리|강진읍|0|92|01|1||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679009|강진신풍길|Gangjinsinpung-gil|0|58|0|4681025024100760000602354|||4681025024||교촌리|강진읍|0|76|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679009|강진신풍길|Gangjinsinpung-gil|0|69|1|4681025024100930000602957|||4681025024||교촌리|강진읍|0|94|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679009|강진신풍길|Gangjinsinpung-gil|0|107|0|4681025024100040002000001|||4681025024||교촌리|강진읍|0|4|01|2||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468103293045|향교로|Hyanggyo-ro|0|132|1|4681025024104120000000001|||4681025024||교촌리|강진읍|0|412|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679009|강진신풍길|Gangjinsinpung-gil|0|58|24|4681025024100390000000001|||4681025024||교촌리|강진읍|0|39|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679009|강진신풍길|Gangjinsinpung-gil|0|28|0|4681025024101840002604110|||4681025024||교촌리|강진읍|0|184|01|2||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679009|강진신풍길|Gangjinsinpung-gil|0|61|0|4681025024101050000602364|||4681025024||교촌리|강진읍|0|105|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679019|교촌길|Gyochon-gil|0|91|4|4681025024101210002600655|||4681025024||교촌리||0|121|01|2||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679314|원교촌길|Wongyochon-gil|0|10|21|4681025024103910000000001|||4681025024||교촌리|강진읍|0|391|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679009|강진신풍길|Gangjinsinpung-gil|0|59|1|4681025024101070000000001|||4681025024||교촌리|강진읍|0|107|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679009|강진신풍길|Gangjinsinpung-gil|0|77|17|4681025024104720006000001|||4681025024||교촌리|강진읍|0|472|01|6||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468103293045|향교로|Hyanggyo-ro|0|93|0|4681025024103100011000001|||4681025024||교촌리|강진읍|0|310|01|11||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468103293045|향교로|Hyanggyo-ro|0|94|0|4681025024103080000000001|||4681025024||교촌리|강진읍|0|308|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679009|강진신풍길|Gangjinsinpung-gil|0|58|20|4681025024100720000603082|||4681025024||교촌리|강진읍|0|72|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679009|강진신풍길|Gangjinsinpung-gil|0|59|0|4681025024101080000602345|||4681025024||교촌리|강진읍|0|108|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679351|종합운동장길|Jonghabundongjang-gil|0|45|0|4681025024102180000000001|||4681025024||교촌리|강진읍|0|218|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679019|교촌길|Gyochon-gil|0|83|0|4681025024101310001600689|||4681025024||교촌리|강진읍|0|131|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679019|교촌길|Gyochon-gil|0|85|0|4681025024101260000600649|||4681025024||교촌리|강진읍|0|126|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679009|강진신풍길|Gangjinsinpung-gil|0|77|52|4681025024105060003000001|||4681025024||교촌리|강진읍|0|506|01|3||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679009|강진신풍길|Gangjinsinpung-gil|0|53|1|4681025024101140000600653|||4681025024||교촌리|강진읍|0|114|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679009|강진신풍길|Gangjinsinpung-gil|0|65|0|4681025024100980000602337|||4681025024||교촌리|강진읍|0|98|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468103293045|향교로|Hyanggyo-ro|0|136|21|4681025024104130001607128|||4681025024||교촌리|강진읍|0|413|01|2||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468103293045|향교로|Hyanggyo-ro|0|128|0|4681025024103220001604630|||4681025024||교촌리|강진읍|0|322|01|1||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468103293045|향교로|Hyanggyo-ro|0|132|0|4681025024104060000603700|||4681025024||교촌리|강진읍|0|406|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468103293045|향교로|Hyanggyo-ro|0|128|2|4681025024104040000604380|||4681025024||교촌리|강진읍|0|404|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679019|교촌길|Gyochon-gil|0|57|2|4681025024101560000604148|||4681025024||교촌리|강진읍|0|156|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679019|교촌길|Gyochon-gil|0|81|1|4681025024101350001600684|||4681025024||교촌리|강진읍|0|135|01|1||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679019|교촌길|Gyochon-gil|0|57|14|4681025024101450000604134|||4681025024||교촌리|강진읍|0|145|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679019|교촌길|Gyochon-gil|0|91|1|4681025024101180000600646|||4681025024||교촌리|강진읍|0|118|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679019|교촌길|Gyochon-gil|0|41|2|4681025024102580000604079|||4681025024||교촌리|강진읍|0|258|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679019|교촌길|Gyochon-gil|0|57|6|4681025024101490000604132|||4681025024||교촌리|강진읍|0|149|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679019|교촌길|Gyochon-gil|0|47|0|4681025024102520000609513|||4681025024||교촌리|강진읍|0|252|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679019|교촌길|Gyochon-gil|0|51|0|4681025024102380000604157|||4681025024||교촌리|강진읍|0|238|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679019|교촌길|Gyochon-gil|0|62|10|4681025024101610001000001|||4681025024||교촌리|강진읍|0|161|01|1||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679019|교촌길|Gyochon-gil|0|91|3|4681025024101200000600659|||4681025024||교촌리|강진읍|0|120|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679009|강진신풍길|Gangjinsinpung-gil|0|75|0|4681025024100870000602308|||4681025024||교촌리|강진읍|0|87|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679009|강진신풍길|Gangjinsinpung-gil|0|51|0|4681025024101150000000001|||4681025024||교촌리|강진읍|0|115|01|0||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679009|강진신풍길|Gangjinsinpung-gil|0|99|0|4681025024100210001000001|||4681025024||교촌리|강진읍|0|21|01|1||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679009|강진신풍길|Gangjinsinpung-gil|0|63|0|4681025024101020001602361|||4681025024||교촌리|강진읍|0|102|01|1||
59222|전라남도|Jeollanam-do|강진군|Gangjin-gun|강진읍|Gangjin-eup|468104679009|강진신풍길|Gangjinsinpung-gil|0|77|95|4681025024105100000607112|||4681025024||교촌리|강진읍|0|510|01|0||
