우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
56445|전라북도|Jeollabuk-do|고창군|Gochang-gun|고수면|Gosu-myeon|457904637764|장암안길|Jangaman-gil|0|11|6|4579031025101090001005104|||4579031025||남산리|고수면|0|109|01|1||
56445|전라북도|Jeollabuk-do|고창군|Gochang-gun|고수면|Gosu-myeon|457904637764|장암안길|Jangaman-gil|0|15|7|4579031025101100005005115|||4579031025||남산리|고수면|0|110|01|5||
56445|전라북도|Jeollabuk-do|고창군|Gochang-gun|고수면|Gosu-myeon|457904637135|남산길|Namsan-gil|0|49|4|4579031025102920000006513|||4579031025||남산리|고수면|0|292|01|0||
56445|전라북도|Jeollabuk-do|고창군|Gochang-gun|고수면|Gosu-myeon|457903279076|인성로|Inseong-ro|0|411|0|4579031025102500001006483|||4579031025||남산리|고수면|0|250|01|1||
56445|전라북도|Jeollabuk-do|고창군|Gochang-gun|고수면|Gosu-myeon|457903279076|인성로|Inseong-ro|0|359|0|4579031025103990013000430|||4579031025||남산리|고수면|0|399|01|13||
56445|전라북도|Jeollabuk-do|고창군|Gochang-gun|고수면|Gosu-myeon|457903279076|인성로|Inseong-ro|0|304|0|4579031025105980003059791|||4579031025||남산리|고수면|0|598|01|7||
56445|전라북도|Jeollabuk-do|고창군|Gochang-gun|고수면|Gosu-myeon|457903279076|인성로|Inseong-ro|0|417|0|4579031025102600000006470|||4579031025||남산리|고수면|0|260|01|0||
56445|전라북도|Jeollabuk-do|고창군|Gochang-gun|고수면|Gosu-myeon|457903279076|인성로|Inseong-ro|0|415|0|4579031025102510001000001|||4579031025||남산리|고수면|0|251|01|1||
56445|전라북도|Jeollabuk-do|고창군|Gochang-gun|고수면|Gosu-myeon|457903279076|인성로|Inseong-ro|0|307|22|4579031025105970002006467|||4579031025||남산리|고수면|0|597|01|11||
56445|전라북도|Jeollabuk-do|고창군|Gochang-gun|고수면|Gosu-myeon|457903279014|독실로|Doksil-ro|0|39|0|4579031025101990003006512|||4579031025||남산리|고수면|0|199|01|3||
56445|전라북도|Jeollabuk-do|고창군|Gochang-gun|고수면|Gosu-myeon|457904637136|남산농장길|Namsannongjang-gil|0|34|4|4579031025105930008005056||형제농장|4579031025||남산리|고수면|0|593|01|8||
56445|전라북도|Jeollabuk-do|고창군|Gochang-gun|고수면|Gosu-myeon|457904637135|남산길|Namsan-gil|0|19|0|4579031025102240001006534|||4579031025||남산리|고수면|0|224|01|1||
56445|전라북도|Jeollabuk-do|고창군|Gochang-gun|고수면|Gosu-myeon|457904637135|남산길|Namsan-gil|0|34|0|4579031025102030000006509|||4579031025||남산리|고수면|0|203|01|0||
56445|전라북도|Jeollabuk-do|고창군|Gochang-gun|고수면|Gosu-myeon|457904637135|남산길|Namsan-gil|0|26|0|4579031025102070001006501|||4579031025||남산리|고수면|0|207|01|1||
56446|전라북도|Jeollabuk-do|고창군|Gochang-gun|고수면|Gosu-myeon|457903279076|인성로|Inseong-ro|0|476|0|4579031025107050000000001|||4579031025||남산리|고수면|0|705|01|0||
56445|전라북도|Jeollabuk-do|고창군|Gochang-gun|고수면|Gosu-myeon|457904637135|남산길|Namsan-gil|0|20|18|4579031025102560003006562|||4579031025||남산리|고수면|0|256|01|3||
56445|전라북도|Jeollabuk-do|고창군|Gochang-gun|고수면|Gosu-myeon|457904637135|남산길|Namsan-gil|0|15|0|4579031025102270001006530|||4579031025||남산리|고수면|0|227|01|1||
56445|전라북도|Jeollabuk-do|고창군|Gochang-gun|고수면|Gosu-myeon|457903279014|독실로|Doksil-ro|0|43|4|4579031025102990000006504|||4579031025||남산리|고수면|0|299|01|0||
56445|전라북도|Jeollabuk-do|고창군|Gochang-gun|고수면|Gosu-myeon|457903279014|독실로|Doksil-ro|0|35|1|4579031025102040000006507|||4579031025||남산리|고수면|0|204|01|0||
56445|전라북도|Jeollabuk-do|고창군|Gochang-gun|고수면|Gosu-myeon|457903279014|독실로|Doksil-ro|0|35|3|4579031025102010000006506|||4579031025||남산리|고수면|0|201|01|0||
56445|전라북도|Jeollabuk-do|고창군|Gochang-gun|고수면|Gosu-myeon|457903279014|독실로|Doksil-ro|0|35|5|4579031025102000000006502|||4579031025||남산리|고수면|0|200|01|0||
56445|전라북도|Jeollabuk-do|고창군|Gochang-gun|고수면|Gosu-myeon|457904637135|남산길|Namsan-gil|0|18|0|4579031025102340005006532|||4579031025||남산리|고수면|0|234|01|5||
56445|전라북도|Jeollabuk-do|고창군|Gochang-gun|고수면|Gosu-myeon|457904637135|남산길|Namsan-gil|0|17|0|4579031025102250001006535|||4579031025||남산리|고수면|0|225|01|1||
56445|전라북도|Jeollabuk-do|고창군|Gochang-gun|고수면|Gosu-myeon|457904637888|학골길|Hakgol-gil|0|28|2|4579031025104770000006338|||4579031025||남산리|고수면|0|477|01|0||
56445|전라북도|Jeollabuk-do|고창군|Gochang-gun|고수면|Gosu-myeon|457904637888|학골길|Hakgol-gil|0|38|0|4579031025104760005006341|||4579031025||남산리|고수면|0|476|01|5||
56445|전라북도|Jeollabuk-do|고창군|Gochang-gun|고수면|Gosu-myeon|457904637888|학골길|Hakgol-gil|0|26|3|4579031025104760000006337|||4579031025||남산리|고수면|0|476|01|0||
56445|전라북도|Jeollabuk-do|고창군|Gochang-gun|고수면|Gosu-myeon|457904637135|남산길|Namsan-gil|0|7|11|4579031025102680003000001|||4579031025||남산리|고수면|0|268|01|3||
56445|전라북도|Jeollabuk-do|고창군|Gochang-gun|고수면|Gosu-myeon|457903279076|인성로|Inseong-ro|0|423|0|4579031025102390001000001|||4579031025||남산리|고수면|0|239|01|11||
