우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
63566|제주특별자치도|Jeju-do|서귀포시|Seogwipo-si|||501304850054|김정문화로27번길|Gimjeongmunhwa-ro 27beon-gil|0|9|5|5013011600101730002015568||멤버스노래연습장|5013011600|강정동||대천동|0|173|01|2||
63564|제주특별자치도|Jeju-do|서귀포시|Seogwipo-si|||501303350344|선반로|Seonban-ro|0|27|0|5013011600103790005000001||루미안|5013011600|강정동||대천동|0|379|02|5||
63563|제주특별자치도|Jeju-do|서귀포시|Seogwipo-si|||501303350079|말질로|Maljil-ro|0|292|0|5013011600149650000005821||등대횟집|5013011600|강정동||대천동|0|4965|02|0||
63558|제주특별자치도|Jeju-do|서귀포시|Seogwipo-si|||501303349236|일주서로|Iljuseo-ro|0|166|52|5013011600133780000000001||디아이빌리지|5013011600|강정동||대천동|0|3378|05|0||
63564|제주특별자치도|Jeju-do|서귀포시|Seogwipo-si|||501304850443|선반로65번길|Seonban-ro 65beon-gil|0|69|0|5013011600124700000000001||라오체 호스텔|5013011600|강정동|||0|2470|01|0||
63566|제주특별자치도|Jeju-do|서귀포시|Seogwipo-si|||501304850544|신서로48번길|Sinseo-ro 48beon-gil|0|20|4|5013011600101660002000001||라온채|5013011600|강정동||대천동|0|166|03|2||
63556|제주특별자치도|Jeju-do|서귀포시|Seogwipo-si|||501303350203|엉또로|Eongtto-ro|0|109|0|5013011600115600002039018||동산위의교회|5013011600|강정동||대천동|0|1560|01|2||
63563|제주특별자치도|Jeju-do|서귀포시|Seogwipo-si|||501304850230|말질로137번길|Maljil-ro 137beon-gil|0|7|0|5013011600142680000000001||동산청과|5013011600|강정동|||0|4268|01|0||
63563|제주특별자치도|Jeju-do|서귀포시|Seogwipo-si|||501304850234|말질로204번길|Maljil-ro 204beon-gil|0|34|3|5013011600145870001033893||동심어린이집|5013011600|강정동||대천동|0|4587|01|1||
63558|제주특별자치도|Jeju-do|서귀포시|Seogwipo-si|||501303349239|중산간서로|Jungsanganseo-ro|0|95|1|5013011600113590000000255||동아마라톤센터|5013011600|강정동||대천동|0|1359|05|0||
63563|제주특별자치도|Jeju-do|서귀포시|Seogwipo-si|||501303350013|강정통물로|Gangjeongtongmul-ro|0|101|0|5013011600143980011000002||동림이용원|5013011600|강정동||대천동|0|4398|01|11||
63563|제주특별자치도|Jeju-do|서귀포시|Seogwipo-si|||501303350079|말질로|Maljil-ro|0|296|0|5013011600149660000006458||대해횟집|5013011600|강정동||대천동|0|4966|02|0||
63560|제주특별자치도|Jeju-do|서귀포시|Seogwipo-si|||501303349236|일주서로|Iljuseo-ro|0|215|7|5013011600141530012001572||대천교회|5013011600|강정동||대천동|0|4153|05|12||
63563|제주특별자치도|Jeju-do|서귀포시|Seogwipo-si|||501304850232|말질로161번길|Maljil-ro 161beon-gil|0|1|0|5013011600145160005012590||대영쌀수퍼|5013011600|강정동||대천동|0|4516|01|5||
63567|제주특별자치도|Jeju-do|서귀포시|Seogwipo-si|||501304850538|신서귀로97번길|Sinseogwi-ro 97beon-gil|0|87|0|5013011600101770000006358||대림제주서호연립주택|5013011600|강정동||대천동|0|177|01|0||
63566|제주특별자치도|Jeju-do|서귀포시|Seogwipo-si|||501303350189|신중로|Sinjung-ro|0|30|0|5013011600101550001027723||농협|5013011600|강정동||대천동|0|155|03|1||
63556|제주특별자치도|Jeju-do|서귀포시|Seogwipo-si|||501303349239|중산간서로|Jungsanganseo-ro|0|30|0|5013011600115310000000001||뉴월드 골프타운|5013011600|강정동||대천동|0|1531|05|0||
63566|제주특별자치도|Jeju-do|서귀포시|Seogwipo-si|||501304850054|김정문화로27번길|Gimjeongmunhwa-ro 27beon-gil|0|9|2|5013011600101650004000001||다온빌|5013011600|강정동||대천동|0|165|01|4||
63558|제주특별자치도|Jeju-do|서귀포시|Seogwipo-si|||501303350205|염돈로|Yeomdon-ro|0|20|25|5013011600120960001028695||농산물간이물집하장|5013011600|강정동||대천동|0|2096|01|1||
63563|제주특별자치도|Jeju-do|서귀포시|Seogwipo-si|||501303350237|이어도로|Ieodo-ro|0|493|0|5013011600154840000000001||농업경영인의 집|5013011600|강정동||대천동|0|5484|06|0||
63566|제주특별자치도|Jeju-do|서귀포시|Seogwipo-si|||501303350025|김정문화로|Gimjeongmunhwa-ro|0|7|0|5013011600101720008013856||남호식당|5013011600|강정동||대천동|0|172|03|8||
63567|제주특별자치도|Jeju-do|서귀포시|Seogwipo-si|||501303350025|김정문화로|Gimjeongmunhwa-ro|0|36|0|5013011600101760000040023||김정문화회관|5013011600|강정동||대천동|0|176|03|0||
63565|제주특별자치도|Jeju-do|서귀포시|Seogwipo-si|||501304850538|신서귀로97번길|Sinseogwi-ro 97beon-gil|0|12|5|5013011600101430010019246||그루터기 학원|5013011600|강정동||대천동|0|143|01|10||
63565|제주특별자치도|Jeju-do|서귀포시|Seogwipo-si|||501304850538|신서귀로97번길|Sinseogwi-ro 97beon-gil|0|12|3|5013011600101440005019225||그린크리닝뱅크|5013011600|강정동||대천동|0|144|01|5||
63563|제주특별자치도|Jeju-do|서귀포시|Seogwipo-si|||501303350237|이어도로|Ieodo-ro|0|568|0|5013011600143990000039169||광면카센타|5013011600|강정동||대천동|0|4399|06|0||
63563|제주특별자치도|Jeju-do|서귀포시|Seogwipo-si|||501303350237|이어도로|Ieodo-ro|0|554|0|5013011600143960001012725||경진상회|5013011600|강정동||대천동|0|4396|06|1||
63563|제주특별자치도|Jeju-do|서귀포시|Seogwipo-si|||501303350014|강정하로|Gangjeongha-ro|0|95|4|5013011600145720000033891||강남낚시|5013011600|강정동||대천동|0|4572|01|0||
63563|제주특별자치도|Jeju-do|서귀포시|Seogwipo-si|||501303350237|이어도로|Ieodo-ro|0|578|0|5013011600144000004012709||강정교회|5013011600|강정동||대천동|0|4400|06|4||
63563|제주특별자치도|Jeju-do|서귀포시|Seogwipo-si|||501303350013|강정통물로|Gangjeongtongmul-ro|0|114|0|5013011600144210013012958||강정동마을회관|5013011600|강정동||대천동|0|4421|01|13||
