우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
32827|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568036|서금암3길|Seogeumam 3-gil|0|16|5|4425010100101440003000001|||4425010100|금암동||금암동|0|144|01|3||
32832|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504858056|동금암2길|Donggeumam 2-gil|0|7|0|4425010100102370141000001|||4425010100|금암동||금암동|0|237|01|141||
32833|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568008|금암3길|Geumam 3-gil|0|2|0|4425010100100280002001768|||4425010100|금암동||금암동|0|28|01|2||
32833|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442503256001|금암로|Geumam-ro|0|172|0|4425010100100540004000001|||4425010100|금암동||금암동|0|54|01|4||
32833|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442503256001|금암로|Geumam-ro|0|174|0|4425010100100540005000001|||4425010100|금암동||금암동|0|54|01|5||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568053|장안4길|Jangan 4-gil|0|11|0|4425010100101850004000001|||4425010100|금암동||금암동|0|185|01|4||
32833|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568008|금암3길|Geumam 3-gil|0|5|0|4425010100100290001000001|||4425010100|금암동||금암동|0|29|01|1||
32826|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568034|서금암1길|Seogeumam 1-gil|0|18|0|4425010100101540003000001|||4425010100|금암동||금암동|0|154|01|3||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568053|장안4길|Jangan 4-gil|0|3|2|4425010100101840002000001|||4425010100|금암동||금암동|0|184|01|2||
32823|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568007|금암2길|Geumam 2-gil|0|25|5|4425010100102940014003735|||4425010100|금암동||금암동|0|294|01|14||
32833|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568008|금암3길|Geumam 3-gil|0|16|0|4425010100100600003000001|||4425010100|금암동||금암동|0|60|01|3||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568052|장안2길|Jangan 2-gil|0|30|0|4425010100101710000000001|||4425010100|금암동||금암동|0|171|01|0||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568051|장안1길|Jangan 1-gil|0|42|0|4425010100101820002000001|||4425010100|금암동||금암동|0|182|01|2||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568051|장안1길|Jangan 1-gil|0|22|1|4425010100101760001000001|||4425010100|금암동||금암동|0|176|01|1||
32832|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504858056|동금암2길|Donggeumam 2-gil|0|19|0|4425010100102370143000001|||4425010100|금암동||금암동|0|237|01|143||
32823|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568033|새터산길|Saeteosan-gil|0|10|0|4425010100100060008000001|||4425010100|금암동||금암동|0|6|01|8||
32827|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568036|서금암3길|Seogeumam 3-gil|0|6|0|4425010100101430008000001|||4425010100|금암동||금암동|0|143|01|8||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568053|장안4길|Jangan 4-gil|0|10|0|4425010100101780014000001|||4425010100|금암동||금암동|0|178|01|14||
32832|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442503015015|계룡대로|Gyeryongdae-ro|0|330|0|4425010100100140003000001|||4425010100|금암동||금암동|0|14|01|3||
32826|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568035|서금암2길|Seogeumam 2-gil|0|17|0|4425010100101510005000001|||4425010100|금암동||금암동|0|151|01|5||
32832|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442503256011|팥거리로|Patgeori-ro|0|16|0|4425010100100190006000001|||4425010100|금암동||금암동|0|19|01|6||
32832|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442503256011|팥거리로|Patgeori-ro|0|19|0|4425010100100170002004607|||4425010100|금암동||금암동|0|17|01|2||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442503256010|천마로|Cheonma-ro|0|89|0|4425010100104060004002609|||4425010100|금암동||금암동|0|406|01|5||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442503256010|천마로|Cheonma-ro|0|87|10|4425010100104060003002606|||4425010100|금암동||금암동|0|406|01|3||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442503256010|천마로|Cheonma-ro|0|87|11|4425010100104060001002608|||4425010100|금암동||금암동|0|406|01|1||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442503256010|천마로|Cheonma-ro|0|88|0|4425010100104050001000002|||4425010100|금암동||금암동|0|405|01|1||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442503256007|장안로|Jangan-ro|0|60|0|4425010100101680001000001|||4425010100|금암동||금암동|0|168|01|1||
32826|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442503256007|장안로|Jangan-ro|0|59|15|4425010100101640001000001|||4425010100|금암동||금암동|0|164|01|1||
32826|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442503256007|장안로|Jangan-ro|0|49|0|4425010100101630002000001|||4425010100|금암동||금암동|0|163|01|2||
32826|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442503256007|장안로|Jangan-ro|0|39|0|4425010100101620002004494|||4425010100|금암동||금암동|0|162|01|2||
32826|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442503256007|장안로|Jangan-ro|0|31|0|4425010100101610008004636|||4425010100|금암동||금암동|0|161|01|8||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442503256007|장안로|Jangan-ro|0|76|0|4425010100101680011000150|||4425010100|금암동||금암동|0|168|01|11||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442503256007|장안로|Jangan-ro|0|74|0|4425010100101680010000149|||4425010100|금암동||금암동|0|168|01|10||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442503256007|장안로|Jangan-ro|0|72|0|4425010100101680009000985|||4425010100|금암동||금암동|0|168|01|9||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442503256007|장안로|Jangan-ro|0|68|1|4425010100101680007000783|||4425010100|금암동||금암동|0|168|01|7||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442503256007|장안로|Jangan-ro|0|68|0|4425010100101680006000983|||4425010100|금암동||금암동|0|168|01|6||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442503256007|장안로|Jangan-ro|0|104|0|4425010100101910000000616|||4425010100|금암동||금암동|0|191|01|0||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568051|장안1길|Jangan 1-gil|0|12|1|4425010100101740001000001|||4425010100|금암동||금암동|0|174|01|1||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568052|장안2길|Jangan 2-gil|0|9|0|4425010100101730002000001|||4425010100|금암동||금암동|0|173|01|2||
32826|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568035|서금암2길|Seogeumam 2-gil|0|19|3|4425010100101510006000001|||4425010100|금암동||금암동|0|151|01|6||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568053|장안4길|Jangan 4-gil|0|8|3|4425010100101780012000001|||4425010100|금암동||금암동|0|178|01|12||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568052|장안2길|Jangan 2-gil|0|27|0|4425010100101690010000001|||4425010100|금암동||금암동|0|169|01|10||
32832|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504858056|동금암2길|Donggeumam 2-gil|0|19|1|4425010100102370018000001|||4425010100|금암동||금암동|0|237|01|18||
32831|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568038|서금암5길|Seogeumam 5-gil|0|70|0|4425010100103960003000001|||4425010100|금암동||금암동|0|396|01|3||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568068|장안3길|Jangan 3-gil|0|21|0|4425010100101780005000001|||4425010100|금암동||금암동|0|178|01|5||
32826|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568036|서금암3길|Seogeumam 3-gil|0|7|0|4425010100101460008000001|||4425010100|금암동|||0|146|01|8||
32826|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568034|서금암1길|Seogeumam 1-gil|0|5|10|4425010100101570001000001|||4425010100|금암동||금암동|0|157|01|1||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568053|장안4길|Jangan 4-gil|0|4|13|4425010100101770007000001|||4425010100|금암동||금암동|0|177|01|7||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568052|장안2길|Jangan 2-gil|0|25|1|4425010100101690011000001|||4425010100|금암동||금암동|0|169|01|11||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568052|장안2길|Jangan 2-gil|0|24|0|4425010100101700002000001|||4425010100|금암동||금암동|0|170|01|2||
32832|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504858056|동금암2길|Donggeumam 2-gil|0|17|0|4425010100102370148000001|||4425010100|금암동||금암동|0|237|01|148||
32832|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504858056|동금암2길|Donggeumam 2-gil|0|11|0|4425010100102370147000001|||4425010100|금암동||금암동|0|237|01|147||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568053|장안4길|Jangan 4-gil|0|8|4|4425010100101790002000001|||4425010100|금암동||금암동|0|179|01|2||
32826|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568035|서금암2길|Seogeumam 2-gil|0|13|10|4425010100101510001000001|||4425010100|금암동||금암동|0|151|01|1||
32823|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568007|금암2길|Geumam 2-gil|0|17|1|4425010100103000007000001|||4425010100|금암동||금암동|0|300|01|7||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442503256010|천마로|Cheonma-ro|0|113|0|4425010100101870006000002|||4425010100|금암동||금암동|0|187|01|6||
32833|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442503256001|금암로|Geumam-ro|0|176|10|4425010100100290006000001|||4425010100|금암동||금암동|0|29|01|6||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568053|장안4길|Jangan 4-gil|0|9|0|4425010100101850005000001|||4425010100|금암동||금암동|0|185|01|5||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568053|장안4길|Jangan 4-gil|0|7|0|4425010100101840001000001|||4425010100|금암동||금암동|0|184|01|1||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568053|장안4길|Jangan 4-gil|0|3|12|4425010100101850008000001|||4425010100|금암동||금암동|0|185|01|8||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568068|장안3길|Jangan 3-gil|0|25|0|4425010100101780003000001|||4425010100|금암동||금암동|0|178|01|3||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568051|장안1길|Jangan 1-gil|0|38|0|4425010100101820004000001|||4425010100|금암동||금암동|0|182|01|4||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568053|장안4길|Jangan 4-gil|0|8|0|4425010100101790001000001|||4425010100|금암동||금암동|0|179|01|1||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568068|장안3길|Jangan 3-gil|0|17|0|4425010100101780007000001|||4425010100|금암동||금암동|0|178|01|7||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568068|장안3길|Jangan 3-gil|0|23|0|4425010100101780004000001|||4425010100|금암동||금암동|0|178|01|4||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442503256010|천마로|Cheonma-ro|0|111|0|4425010100101870005000001|||4425010100|금암동||금암동|0|187|01|5||
32827|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442503015015|계룡대로|Gyeryongdae-ro|0|249|0|4425010100100720001000001|||4425010100|금암동||금암동|0|72|01|1||
32824|충청남도|Chungcheongnam-do|계룡시|Gyeryong-si|||442504568053|장안4길|Jangan 4-gil|0|6|0|4425010100101790010000001|||4425010100|금암동||금암동|0|179|01|10||
