우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437604538751|충민로덕운리길|Chungmin-ro deogulli-gil|0|109|0|4376031026100130000000001|||4376031026||광전리|감물면|0|13|01|0||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437604538064|광전2길|Gwangjeon 2-gil|0|20|1|4376031026101900000101600|||4376031026||광전리|감물면|0|190|01|0||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437604538067|광전5길|Gwangjeon 5-gil|0|71|43|4376031026104160002000001|||4376031026||광전리|감물면|0|416|01|2||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437604538751|충민로덕운리길|Chungmin-ro deogulli-gil|0|45|1|4376031026100740000000001|||4376031026||광전리|감물면|0|74|01|0||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437604538067|광전5길|Gwangjeon 5-gil|0|45|29|4376031026103740000000001|||4376031026||광전리|감물면|0|374|01|0||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437604538751|충민로덕운리길|Chungmin-ro deogulli-gil|0|104|0|4376031026100120002000001|||4376031026||광전리|감물면|0|12|01|2||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437604538066|광전4길|Gwangjeon 4-gil|0|11|7|4376031026105920001100557|||4376031026||광전리|감물면|0|592|01|1||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437603014054|충민로|Chungmin-ro|0|774|0|4376031026103180018000001|||4376031026||광전리|감물면|0|318|02|18||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437603014054|충민로|Chungmin-ro|0|694|49|4376031026101290000000001|||4376031026||광전리|감물면|0|129|02|0||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437604538067|광전5길|Gwangjeon 5-gil|0|45|30|4376031026103770000000001|||4376031026||광전리|감물면|0|377|01|0||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437603014054|충민로|Chungmin-ro|0|746|13|4376031026103140002000001|||4376031026||광전리|감물면|0|314|02|2||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437603014054|충민로|Chungmin-ro|0|694|106|4376031026107080004000001|||4376031026||광전리|감물면|0|708|02|4||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437604538065|광전3길|Gwangjeon 3-gil|0|25|0|4376031026106430002000001|||4376031026||광전리|감물면|0|643|01|2||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437603246010|맹이재로|Maengijae-ro|0|552|0|4376031026102690000000001|||4376031026||광전리|감물면|0|269|01|0||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437604538066|광전4길|Gwangjeon 4-gil|0|15|3|4376031026105920003000001|||4376031026||광전리|감물면|0|592|01|3||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437603014054|충민로|Chungmin-ro|0|694|108|4376031026107080002000001|||4376031026||광전리|감물면|0|708|02|4||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437604538751|충민로덕운리길|Chungmin-ro deogulli-gil|0|15|17|4376031026100720001000001|||4376031026||광전리|감물면|0|72|01|1||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437603014054|충민로|Chungmin-ro|0|694|5|4376031026101210000000001|||4376031026||광전리|감물면|0|121|02|0||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437603246010|맹이재로|Maengijae-ro|0|611|18|4376031026101070000000001|||4376031026||광전리|감물면|0|107|01|0||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437604538064|광전2길|Gwangjeon 2-gil|0|24|1|4376031026101890001101470|||4376031026||광전리|감물면|0|189|01|0||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437604538065|광전3길|Gwangjeon 3-gil|0|148|0|4376031026106530000000001|||4376031026||광전리|감물면|0|653|01|0||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437604538766|충민로신대길|Chungmin-ro sindae-gil|0|24|0|4376031026100920002100696|||4376031026||광전리|감물면|0|92|01|2||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437604538068|광전길|Gwangjeon-gil|0|91|9|4376031026105440000102099|||4376031026||광전리|감물면|0|544|01|0||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437603014054|충민로|Chungmin-ro|0|746|5|4376031026103050007102191|||4376031026||광전리|감물면|0|305|02|7||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437604538063|광전1길|Gwangjeon 1-gil|0|10|7|4376031026101060014000001|||4376031026||광전리|감물면|0|106|01|14||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437604538063|광전1길|Gwangjeon 1-gil|0|10|9|4376031026101060013000001|||4376031026||광전리|감물면|0|106|01|13||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437604538063|광전1길|Gwangjeon 1-gil|0|10|17|4376031026101060011000001|||4376031026||광전리|감물면|0|106|01|11||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437604538067|광전5길|Gwangjeon 5-gil|0|140|0|4376031026108160000000001|||4376031026||광전리|감물면|0|816|01|0||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437604538065|광전3길|Gwangjeon 3-gil|0|67|0|4376031026106940003000001|||4376031026||광전리|감물면|0|694|01|3||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437603246010|맹이재로|Maengijae-ro|0|611|17|4376031026101610000000001|||4376031026||광전리|감물면|0|161|01|0||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437604538066|광전4길|Gwangjeon 4-gil|0|11|47|4376031026106860000000001|||4376031026||광전리|감물면|0|686|01|0||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437604538067|광전5길|Gwangjeon 5-gil|0|35|0|4376031026104600003000001|||4376031026||광전리||0|460|01|3||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437604538063|광전1길|Gwangjeon 1-gil|0|12|0|4376031026102180006000001|||4376031026||광전리|감물면|0|218|01|6||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437604538063|광전1길|Gwangjeon 1-gil|0|16|0|4376031026102170000101077|||4376031026||광전리||0|217|01|0||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437604538063|광전1길|Gwangjeon 1-gil|0|25|0|4376031026102080002101548|||4376031026||광전리|감물면|0|208|01|1||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437603014054|충민로|Chungmin-ro|0|694|15|4376031026101170000000001|||4376031026||광전리|감물면|0|117|02|0||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437604538066|광전4길|Gwangjeon 4-gil|0|11|10|4376031026105920002102125|||4376031026||광전리|감물면|0|592|01|2||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437604538766|충민로신대길|Chungmin-ro sindae-gil|0|23|0|4376031026100880005100703|||4376031026||광전리|감물면|0|88|01|5||
28006|충청북도|Chungcheongbuk-do|괴산군|Goesan-gun|감물면|Gammul-myeon|437604538766|충민로신대길|Chungmin-ro sindae-gil|0|17|20|4376031026100860007101180|||4376031026||광전리||0|86|01|7||
