우편번호,주소,법정동코드,건물명,위도,경도
32823,충청남도 계룡시 새터산길 27,4425010100,계룡도서관,127.2500591,36.2730755
32823,충청남도 계룡시 장안로 54,4425010100,계룡시보건소,127.2498048,36.2769145
32814,충청남도 계룡시 계백로 3174,4425010100,계룡시육묘장,127.2486330,36.2745540
32823,충청남도 계룡시 장안로 46,4425010100,계룡시청,127.2493706,36.2809407
32823,충청남도 계룡시 장안로 54,4425010100,계룡시치매안심센터,127.2552988,36.2675627
32828,충청남도 계룡시 서금암5길 17,4425010100,계룡중학교,127.2500591,36.2730755
32826,충청남도 계룡시 서금암로 10,4425010100,계룡한양아이클래스,127.2514981,36.2727428
32832,충청남도 계룡시 금암로 155,4425010100,그레이스빌,127.2580689,36.2745266
32824,충청남도 계룡시 장안1길 28,4425010100,금암동주민센터,127.2528111,36.2723965
32825,충청남도 계룡시 서금암로 22,4425010100,금암시외버스승강장,127.2464000,36.2727670
32833,충청남도 계룡시 금암로 182,4425010100,노인종합복지관,127.2574828,36.2747195
32832,충청남도 계룡시 금암로 149,4425010100,명산주택,127.2590842,36.2723381
32826,충청남도 계룡시 서금암2길 7,4425010100,바닥분수공중화장실,127.2594492,36.2685738
32827,충청남도 계룡시 계룡대로 245,4425010100,반석빌딩,127.2539936,36.2727018
32832,충청남도 계룡시 금암로 137,4425010100,밤부그린타워,127.2510875,36.2752499
32823,충청남도 계룡시 새터산길 11,4425010100,새터산공중화장실,127.2568150,36.2752628
32827,충청남도 계룡시 서금암3길 14,4425010100,수변공원공중화장실,127.2569674,36.2713225
32832,충청남도 계룡시 금암로 149,4425010100,수현주택,127.2574828,36.2747195
32826,충청남도 계룡시 서금암3길 5,4425010100,쉐리움,127.2551701,36.2718560
32824,충청남도 계룡시 장안1길 7,4425010100,신성1차미소지움아파트 상가,127.2481059,36.2715844
32828,충청남도 계룡시 대실남북로 36,4425010100,신성2차미소지움아파트,127.2569832,36.2663064
32824,충청남도 계룡시 장안1길 9,4425010100,신성미소지움1차아파트,127.2471480,36.2719039
32828,충청남도 계룡시 서금암5길 9,4425010100,신성미소지움2차아파트,127.2563321,36.2678073
32826,충청남도 계룡시 계룡대로 325,4425010100,씨티타워,127.2547157,36.2743149
32832,충청남도 계룡시 금암로 130,4425010100,오페라,127.2551660,36.2754394
32825,충청남도 계룡시 장안로 75,4425010100,우림루미아트아파트,127.2478516,36.2700016
32823,충청남도 계룡시 새터산길 22,4425010100,KT계룡두마국사,127.2507560,36.2768493
32826,충청남도 계룡시 장안로 55,4425010100,계룡금암동우체국,127.2506879,36.2727126
32826,충청남도 계룡시 장안로 59,4425010100,논산계룡농협금암지점,127.2505477,36.2724838
32826,충청남도 계룡시 계룡대로 303,4425010100,농협중앙회,127.2565457,36.2731587
32824,충청남도 계룡시 장안1길 32,4425010100,대명주택,127.2458471,36.2726869
32826,충청남도 계룡시 장안로 43,4425010100,대승빌딩,127.2516033,36.2734748
32823,충청남도 계룡시 계룡대로 363,4425010100,더플러스,127.2520190,36.2771314
32832,충청남도 계룡시 팥거리로 22,4425010100,로즈마리,127.2576474,36.2751570
32827,충청남도 계룡시 서금암4길 6,4425010100,주공아파트,127.2578862,36.2696578
32827,충청남도 계룡시 서금암로 51,4425010100,주공아파트,127.2567668,36.2711866
32826,충청남도 계룡시 장안로 59,4425010100,준빌리지,127.2505477,36.2724838
32832,충청남도 계룡시 금암로 135,4425010100,진흥빌딩,127.2564157,36.2753772
32826,충청남도 계룡시 장안로 59,4425010100,천마빌딩,127.2505477,36.2724838
32832,충청남도 계룡시 동금암길 64,4425010100,천마타운,127.2577171,36.2764878
32831,충청남도 계룡시 서금암5길 24,4425010100,타운하우스이지,127.2552296,36.2687965
32801,충청남도 계룡시 계백로 3207,4425010100,타이어o뱅크,127.2524896,36.2813655
32832,충청남도 계룡시 팥거리로 15,4425010100,피닉스빌,127.2569985,36.2751370
32844,충청남도 계룡시 농소로 64,4425031024,계룡대실LH리슈빌,127.2582305,36.2620878
32844,충청남도 계룡시 대실남북1길 11,4425031024,계룡로컬푸드센터,127.2586186,36.2631629
32844,충청남도 계룡시 농소로 38,4425031024,비전타워,127.2591968,36.2662916
32827,충청남도 계룡시 서금암로 89,4425031024,계룡고등학교,127.2584915,36.2681498
32843,충청남도 계룡시 대실남북로 82,4425031024,계룡대실LH4단지,127.2537663,36.2627866
32843,충청남도 계룡시 농소로 48,4425031024,농소근린공원공중화장실,127.2576623,36.2630832
32844,충청남도 계룡시 농소로 32,4425031024,달라호스,127.2711949,36.2678201
32837,충청남도 계룡시 사계로 101,4425031021,계룡더샵아파트,127.2588431,36.2637036
32838,충청남도 계룡시 팥거리로 233,4425031021,계룡시해군동지회,127.2770792,36.2654010
32835,충청남도 계룡시 팥거리로 95,4425031021,계룡역,127.2652870,36.2728953
32838,충청남도 계룡시 팥거리1길 42,4425031021,경익버스(주),127.2777319,36.2663593
32835,충청남도 계룡시 사계로 51,4425031021,계룡대림e편한세상아파트,127.2643068,36.2701168
32838,충청남도 계룡시 팥거리2길 14,4425031021,두마면사무소,127.2727146,36.2668957
32840,충청남도 계룡시 사계로 170,4425031022,계룡소방파출소,127.2744396,36.2619727
32841,충청남도 계룡시 제1산단로 25,4425031022,길산파이프(주),127.2715365,36.2506443
32841,충청남도 계룡시 제1산단로 25,4425031022,P&H,127.2715365,36.2506443
32841,충청남도 계룡시 제1산단로 7,4425031022,경비동,127.2712588,36.2514905
32839,충청남도 계룡시 사계로 177,4425031022,농업기술센터,127.2762176,36.2621634
32840,충청남도 계룡시 사계로 184,4425031022,대전우편집중국,127.2746889,36.2610038
32841,충청남도 계룡시 제1산단로 40,4425031023,마메든도어,127.2679529,36.2520719
32842,충청남도 계룡시 입암길 41,4425031023,세화주택,127.2703810,36.2485130
32841,충청남도 계룡시 제1산단로 40,4425031023,엘빈즈,127.2703810,36.2485130
32841,충청남도 계룡시 제1산단로 38,4425031023,(주)굿스굿,127.2712365,36.2490394
32842,충청남도 계룡시 제1산단로 40,4425031023,(주)비타바이오,127.2704784,36.2506375
32841,충청남도 계룡시 제1산단로 16,4425031023,(주)소이미푸드,127.2703810,36.2485130
32841,충청남도 계룡시 제1산단로 26,4425031023,(주)아워홈,127.2703310,36.2503744
32841,충청남도 계룡시 제1산단로 26,4425031023,(주)엠아이텍,127.2703310,36.2503744
32841,충청남도 계룡시 제1산단로 31,4425031023,지앤디협동조합,127.2717322,36.2500214
32841,충청남도 계룡시 제1산단로 7,4425031023,진모터스,127.2712588,36.2514905
32842,충청남도 계룡시 제1산단로 26,4425031023,퍼스프,127.2446877,36.2955846
32801,충청남도 계룡시 신도안1길 41,4425033021,계룡대쇼핑타운,127.2703310,36.2503744
32801,충청남도 계룡시 신도안2길 63,4425033021,계룡남선우체국,127.2425643,36.3004032
32801,충청남도 계룡시 신도안2길 80,4425033021,계룡공기총사격장,127.2443750,36.3011260
32801,충청남도 계룡시 신도안1길 64,4425033021,유치원,127.2460057,36.2974975
32801,충청남도 계룡시 신도안1길 88,4425033021,용남초등학교,127.2447129,36.2989772
32801,충청남도 계룡시 신도안2길 66,4425033021,용남중학교,127.2443026,36.3003253
32801,충청남도 계룡시 신도안1길 32,4425033021,용남고등학교,127.2449000,36.2943750
32801,충청남도 계룡시 신도안2길 61,4425033021,신도안보건지소,127.2421234,36.3006030
32801,충청남도 계룡시 신도안2길 59,4425033021,신도안면사무소,127.2422067,36.3004309
32801,충청남도 계룡시 신도안2길 98,4425033021,품안마을,127.2476798,36.3019188
32801,충청남도 계룡시 신도안1길 50,4425033021,계룡대아파트,127.2464922,36.2958190
32801,충청남도 계룡시 계룡대로 976,4425033021,계룡대체력단련장,127.2467830,36.3236145
32801,충청남도 계룡시 신도안3길 72,4425033021,계룡대학습관,127.2434287,36.2944774
32801,충청남도 계룡시 신도안3길 55,4425033021,계룡대해미르아파트,127.2422670,36.2979422
32801,충청남도 계룡시 신도안3길 58,4425033021,계룡복지센타,127.2426419,36.2951044
32801,충청남도 계룡시 신도안1길 43,4425033021,계룡스포츠센터,127.2456617,36.2961797
32801,충청남도 계룡시 신도안2길 96,4425033021,군인아파트,127.2472601,36.3009165
32801,충청남도 계룡시 신도안2길 41,4425033021,군인아파트,127.2409738,36.3009849
32800,충청남도 계룡시 암용추로 89,4425033024,구룡콘도,127.2299250,36.3242750
32800,충청남도 계룡시 암용추로 27,4425033024,구룡대골프연습장,127.2312958,36.3199716
32800,충청남도 계룡시 계룡대9로 104,4425033024,구룡대체력단련장,127.2446819,36.3235233
32800,충청남도 계룡시 계룡대로 993,4425033025,괴목정공중화장실,127.2312531,36.3188068
32800,충청남도 계룡시 계룡대1로 35,4425033022,독립유공자한훈기념관,127.2322104,36.2995657
32800,충청남도 계룡시 계룡대1로 13,4425033022,국궁장(신도정),127.2345582,36.2993924
32800,충청남도 계룡시 신도안2길 16,4425033022,계룡대호국사영외법당,,
32817,충청남도 계룡시 도곡로 158,4425031524,계룡시어린이감성체험장,127.2142893,36.2681391
32817,충청남도 계룡시 번영로 430,4425031524,공립계룡상록어린이집,127.2143341,36.2685286
32806,충청남도 계룡시 번영로 70,4425031521,한성주택,127.2376250,36.2884920
32822,충청남도 계룡시 양정향한길 12,4425031521,논산계룡농협계룡지점,127.2413689,36.2828430
32805,충청남도 계룡시 번영로 48,4425031521,논산계룡농협엄사지점,127.2400938,36.2891316
32806,충청남도 계룡시 번영2길 11,4425031521,돌뿐이공원공중화장실,127.2392643,36.2900070
32810,충청남도 계룡시 엄사중앙로 65,4425031521,동아아파트,127.2396701,36.2860535
32811,충청남도 계룡시 엄사중앙로 65,4425031521,두산신성아파트,127.2396701,36.2860535
32807,충청남도 계룡시 전원로 93,4425031521,인산주택,127.2345059,36.2877301
32801,충청남도 계룡시 평리길 34,4425031521,평리주택,127.2447534,36.2904769
32815,충청남도 계룡시 전원3길 32,4425031521,하우스,127.2344707,36.2919979
32809,충청남도 계룡시 번영로 73,4425031521,계룡시보훈회관,127.2375537,36.2880572
32801,충청남도 계룡시 평리길 17,4425031521,계룡아트빌,127.2454494,36.2896548
32810,충청남도 계룡시 번영로 45,4425031521,계룡엄사우체국,127.2400750,36.2886080
32804,충청남도 계룡시 번영로 12,4425031521,계룡오피스텔,127.2437784,36.2882872
32819,충청남도 계룡시 번영로 113,4425031521,계룡파라디아,127.2320523,36.2846927
32805,충청남도 계룡시 번영2길 4,4425031521,나래주택,127.2392920,36.2894472
32815,충청남도 계룡시 번영11길 28,4425031521,노블카운티,127.2309082,36.2886335
32806,충청남도 계룡시 전원로 71,4425031521,보호수광장공중화장실,127.2364639,36.2887505
32811,충청남도 계룡시 번영3길 43,4425031521,비사벌아파트,127.2391292,36.2850911
32821,충청남도 계룡시 번영3길 73,4425031521,삼진아파트,127.2372140,36.2827561
32812,충청남도 계룡시 엄사중앙로 66,4425031521,성원아파트,127.2414131,36.2862934
32820,충청남도 계룡시 번영3길 61,4425031521,양정어린이공원공중화장실,127.2396342,36.2902682
32805,충청남도 계룡시 번영2길 16,4425031521,엄사5.12리경로당,127.2376496,36.2837078
32813,충청남도 계룡시 번영로 11,4425031521,엄사게이트볼장,127.2437020,36.2868914
32810,충청남도 계룡시 번영3길 7,4425031521,엄사근린공원공중화장실,127.2437020,36.2868914
32813,충청남도 계룡시 번영로 11,4425031521,엄사근린공원화장실,127.2379121,36.2870425
32809,충청남도 계룡시 번영7길 17,4425031521,엄사도서관,127.2398903,36.2878892
32810,충청남도 계룡시 번영로 47,4425031521,엄사면사무소,127.2398733,36.2886055
32804,충청남도 계룡시 번영1길 5,4425031521,엄사상점가공영주차장,127.2434947,36.2886239
32809,충청남도 계룡시 번영로 73,4425031521,엄사주민자치센터,127.2375537,36.2880572
32815,충청남도 계룡시 번영11길 3,4425031521,엄사중학교,127.2297225,36.2877819
32808,충청남도 계룡시 번영3길 30,4425031521,엄사초등학교,127.2376865,36.2866880
32805,충청남도 계룡시 전원로 17,4425031521,예수사랑교회,127.2408420,36.2903279
32807,충청남도 계룡시 번영8길 3,4425031521,우주빌,127.2347517,36.2870297
32806,충청남도 계룡시 번영4길 3,4425031521,음절공원공중화장실,127.2339731,36.2874152
32807,충청남도 계룡시 전원로 97,4425031521,검배공원공중화장실,127.2375245,36.2887840
32810,충청남도 계룡시 번영로 43,4425031521,경남무궁화아파트,127.2406514,36.2882033
32806,충청남도 계룡시 번영4길 9,4425031521,휘연가,127.2370985,36.2890012
32821,충청남도 계룡시 번영3길 91,4425031522,대동황토방아파트,127.2375172,36.2802174
32830,충청남도 계룡시 계백로 3034,4425031522,통제실,127.2370813,36.2764930
32829,충청남도 계룡시 문화1로 13,4425031522,계룡문화예술의전당,127.2341481,36.2729241
32829,충청남도 계룡시 문화로 32,4425031522,계룡소방서,127.2328318,36.2743138
32829,충청남도 계룡시 문화1로 51,4425031522,계룡시다목적체육관,127.2332905,36.2698219
32829,충청남도 계룡시 문화1로 7,4425031522,계룡시종합사회복지관,127.2330085,36.2733582
