우편번호,주소,법정동코드,건물명,위도,경도
28006,충청북도 괴산군 충민로 730,4376031026,주택,127.8730686,36.8353679
28006,충청북도 괴산군 광전길 60,4376031026,저온저장고,127.8766347,36.8274217
28006,충청북도 괴산군 광전2길 4,4376031026,하미전마을회관,127.8751313,36.8306754
28006,충청북도 괴산군 남양동길 5,4376031026,평화식당,127.8741118,36.8365014
28006,충청북도 괴산군 맹이재로 611,4376031026,흙사랑영농조합,127.8736442,36.8340294
28006,충청북도 괴산군 광전2길 6,4376031026,(구)하미전마을회관,127.8749069,36.8305435
28006,충청북도 괴산군 충민로신대길 8,4376031026,감물농산물집하장,127.8743408,36.8358785
28006,충청북도 괴산군 충민로신대길 13,4376031026,감물면사무소,127.8749483,36.8367195
28006,충청북도 괴산군 충민로신대길 13,4376031026,감물면사무소관사,127.8749483,36.8367195
28006,충청북도 괴산군 충민로신대길 13,4376031026,감물보건지소,127.8749483,36.8367195
28006,충청북도 괴산군 충민로신대길 2,4376031026,감물신용협동조합,127.8744068,36.8356557
28006,충청북도 괴산군 충민로 795,4376031026,(주)유니블록,127.8803588,36.8360618
28006,충청북도 괴산군 남양동길 3,4376031026,광신상회,127.8743268,36.8364284
28006,충청북도 괴산군 충민로 750,4376031026,광전정미소,127.8757266,36.8351150
28006,충청북도 괴산군 광전5길 51,4376031026,광지실마을회관,127.8819570,36.8271635
28006,충청북도 괴산군 광전길 26,4376031026,농기계보관창고,127.8753107,36.8297244
28006,충청북도 괴산군 충민로덕운리길 16,4376031026,농기계창고,127.8780697,36.8363695
28006,충청북도 괴산군 광전5길 65,4376031026,박현종효자문,127.8822150,36.8262632
28006,충청북도 괴산군 광전길 67,4376031026,상미전공동농기계보관창고,127.8774301,36.8266316
28006,충청북도 괴산군 광전길 71,4376031026,상미전농산물집하장,127.8776370,36.8264198
28006,충청북도 괴산군 광전길 72,4376031026,상미전마을회관,127.8772002,36.8261461
28006,충청북도 괴산군 광전길 66,4376031026,상미전마을회관,127.8771303,36.8267077
28005,충청북도 괴산군 주월로1길 78,4376031024,율리새마을회관,127.8899963,36.8630035
28005,충청북도 괴산군 주월로 235,4376031024,창고,127.8933063,36.8662812
28005,충청북도 괴산군 주월로1길 77,4376031024,마을창고,127.8900643,36.8631185
28007,충청북도 괴산군 도전로3길 9,4376031027,시크릿팜농장,127.8933750,36.8127201
28007,충청북도 괴산군 맹이재로 298,4376031027,원매전농기계보관창고,127.8744603,36.8098181
28007,충청북도 괴산군 매전1길 43,4376031027,청황사,127.8647566,36.8089598
28007,충청북도 괴산군 도전로 303,4376031027,노유자시설,127.9053803,36.8190323
28007,충청북도 괴산군 도전로1길 39,4376031027,매전낚시터관리실,127.8860262,36.8183056
28007,충청북도 괴산군 도전로4길 14,4376031027,도전리경로당,127.8958982,36.8129737
28007,충청북도 괴산군 도전로 497,4376031027,무심사,127.9217546,36.8292232
28007,충청북도 괴산군 도전로 378,4376031027,무지개마을재가노인지원센터,127.9111124,36.8221114
28007,충청북도 괴산군 매전1길 73,4376031027,성림사,127.8654855,36.8110976
28007,충청북도 괴산군 도전로4길 14,4376031027,사무실,127.8958982,36.8129737
28007,충청북도 괴산군 도전로1길 143,4376031027,안민동경로당,127.8923751,36.8253575
28007,충청북도 괴산군 도전로1길 136,4376031027,안민동농산물집하장,127.8922274,36.8246268
28005,충청북도 괴산군 충민로 1085,4376031025,얼음골식당,127.9020340,36.8379810
28005,충청북도 괴산군 감물로 239,4376031025,정려각,127.8819920,36.8491240
28005,충청북도 괴산군 감물로 309,4376031025,중앙레미콘(주),127.8759675,36.8528134
28005,충청북도 괴산군 감물로백양4길 17,4376031025,하백양마을회관,127.8821143,36.8521157
28005,충청북도 괴산군 감물로 231,4376031025,농산물간이집하장,127.8824222,36.8484284
28005,충청북도 괴산군 감물로박달길 116,4376031025,박달마을경로당,127.8903992,36.8419083
28005,충청북도 괴산군 감물로 233,4376031025,백양노인정,127.8823463,36.8485812
28005,충청북도 괴산군 감물로백양2길 8,4376031025,상백양마을회관,127.8830154,36.8494117
28005,충청북도 괴산군 감물로박달길 118,4376031025,산물 집하장,127.8904409,36.8416415
28005,충청북도 괴산군 감물로 237,4376031025,연안이씨청계당종친회관,127.8820807,36.8490096
28005,충청북도 괴산군 감물로백양3길 14,4376031025,양곡교회,127.8800791,36.8498126
28006,충청북도 괴산군 충민로방골길 20,4376031021,오성노인정,127.8663108,36.8349451
28006,충청북도 괴산군 충민로 678,4376031021,오성정미소,127.8676391,36.8360667
28006,충청북도 괴산군 오창로 56,4376031021,오성중학교,127.8679881,36.8421660
28006,충청북도 괴산군 충민로성골길 104,4376031021,주택,127.8612966,36.8263527
28006,충청북도 괴산군 충민로방골길 67,4376031021,축사,127.8649507,36.8308756
28006,충청북도 괴산군 충민사길 19,4376031021,충민양어장횟집,127.8478427,36.8342454
28006,충청북도 괴산군 충민로성골길 101,4376031021,주택,127.8624489,36.8272110
28006,충청북도 괴산군 감물로 60,4376031021,감물떡방앗간,127.8738869,36.8380255
28006,충청북도 괴산군 감물로 65,4376031021,감물우체국,127.8733474,36.8385188
28006,충청북도 괴산군 감물로 66,4376031021,감물자율방범대,127.8736878,36.8384565
28006,충청북도 괴산군 감물로 53,4376031021,감물정류소,127.8732702,36.8375853
28006,충청북도 괴산군 감물로 58,4376031021,감물제일교회,127.8739067,36.8378220
28006,충청북도 괴산군 남양동길 38,4376031021,감물초등학교,127.8713183,36.8391229
28006,충청북도 괴산군 감물로 64,4376031021,감물치안센터,127.8737686,36.8381772
28006,충청북도 괴산군 감물로 37,4376031021,노인회관,127.8715211,36.8372221
28006,충청북도 괴산군 충민로새마을길 5,4376031021,구무정마을회관,127.8478471,36.8310019
28006,충청북도 괴산군 충민로신기길 2,4376031021,농산물간이집하장,127.8654402,36.8368572
